Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Golden State Warriors,67.0,15.0,0.817073,2.622112,0.480457,-0.188536,-0.265877,-2.122619,0.880399,-1.187465,-0.46833,0.851142,0.901904,1.753046
San Antonio Spurs,61.0,21.0,0.743902,0.5422,-0.141718,0.270066,0.053175,-1.661736,0.880399,0.570938,-0.721482,0.314299,1.107204,1.421503
Houston Rockets,55.0,27.0,0.670732,1.662153,0.584153,0.499366,1.276207,0.412234,0.537386,-0.60133,-0.637098,0.810127,-0.055248,0.754879
Toronto Raptors,51.0,31.0,0.621951,0.168882,-0.971284,0.652234,1.276207,-0.509531,0.880399,-0.2757,0.586467,0.632252,0.280802,0.913054
Los Angeles Clippers,51.0,31.0,0.621951,1.235504,-0.763892,-0.685355,1.276207,-0.586345,-0.720327,0.115056,0.080165,0.739535,0.065443,0.804978
Utah Jazz,51.0,31.0,0.621951,0.648862,0.480457,-0.035669,0.319052,-1.584923,-1.063339,1.417576,-0.594906,0.180155,0.740886,0.921041
Cleveland Cavaliers,51.0,31.0,0.621951,1.768815,-0.141718,-0.532488,-0.159526,0.181792,-1.520689,-0.60133,-1.480936,0.612529,-0.351015,0.261514
Boston Celtics,53.0,29.0,0.646341,0.595531,-0.556501,-0.800005,0.584928,-0.816786,-0.148639,-0.92696,0.586467,0.305076,0.016193,0.321269
Washington Wizards,49.0,33.0,0.597561,0.755524,0.065674,0.308282,-0.531753,0.796302,1.223412,-0.796708,0.164548,0.267685,-0.196692,0.070993
Miami Heat,41.0,41.0,0.5,-0.097774,-0.349109,0.346499,-1.70161,-1.354482,-0.148639,-0.210574,0.459892,-0.137774,0.393534,0.25576
Oklahoma City Thunder,47.0,35.0,0.573171,-0.737747,0.480457,1.760522,0.584928,-0.202276,-0.262976,1.482702,0.375508,0.024631,0.255381,0.280012
Memphis Grizzlies,43.0,39.0,0.52439,-1.217727,-0.660197,0.5758,0.531753,-0.586345,0.994737,0.505812,1.9788,-0.127119,0.287565,0.160446
Denver Nuggets,40.0,42.0,0.487805,0.862186,0.480457,1.531221,0.265877,1.410812,-2.092377,1.287324,-0.637098,0.570886,-0.73439,-0.163504
Chicago Bulls,41.0,41.0,0.5,-1.431051,-0.452805,1.41657,-0.159526,-0.509531,-0.377314,0.04993,-1.691895,-0.199834,0.373254,0.17342
Charlotte Hornets,36.0,46.0,0.439024,-0.684416,-2.111938,-1.296824,0.957155,0.719488,-0.720327,1.873459,-1.902855,0.138427,0.192243,0.33067
Indiana Pacers,42.0,40.0,0.512195,0.115551,0.065674,-0.800005,0.159526,-0.125462,0.994737,-0.796708,0.670851,-0.10627,0.0389,-0.06737
Milwaukee Bucks,42.0,40.0,0.512195,0.702193,0.480457,-0.685355,0.053175,0.33542,0.994737,-0.861834,0.248932,0.031668,-0.09519,-0.063522
Portland Trail Blazers,41.0,41.0,0.5,0.328875,-0.245413,-0.112103,0.265877,-0.432717,-1.292014,0.04993,1.345922,0.210364,-0.341819,-0.131455
Atlanta Hawks,43.0,39.0,0.52439,-0.524422,1.517415,0.117198,0.319052,-0.509531,1.223412,-0.405952,-1.269976,-0.517825,0.618971,0.101146
Detroit Pistons,37.0,45.0,0.45122,-1.164396,-1.904546,0.308282,-2.765116,0.181792,-0.720327,2.915475,-0.510522,-0.342733,0.406875,0.064142
Minnesota Timberwolves,31.0,51.0,0.378049,-0.151105,0.16937,1.493004,1.063506,1.641253,0.537386,-0.536204,0.122357,0.355342,-0.647749,-0.292407
New Orleans Pelicans,34.0,48.0,0.414634,-0.524422,-1.07498,-1.83186,-0.90398,-0.355903,-0.377314,0.04993,-1.35436,-0.442993,0.261173,-0.18182
Dallas Mavericks,33.0,49.0,0.402439,-0.471091,-1.178676,-1.984727,-1.542084,1.180371,1.909437,0.570938,0.375508,-0.522025,0.063072,-0.458953
New York Knicks,31.0,51.0,0.378049,-0.951071,-0.349109,1.263703,-1.116681,-0.202276,-1.177677,-1.708473,0.20674,-0.207913,-0.586214,-0.794127
Sacramento Kings,32.0,50.0,0.390244,0.115551,0.998936,-0.876439,0.584928,1.103557,0.194374,-0.2757,0.755235,-0.291062,-0.561255,-0.852317
Phoenix Suns,24.0,58.0,0.292683,-1.111065,0.687849,1.034402,1.169857,0.873116,0.423049,-0.210574,2.316336,-0.234029,-0.633049,-0.867078
Philadelphia 76ers,28.0,54.0,0.341463,-0.684416,2.243286,-0.341404,-0.531753,-0.125462,0.880399,-0.92696,1.050578,-0.982632,-0.072694,-1.055326
Brooklyn Nets,20.0,62.0,0.243902,-0.364429,2.035894,-1.411475,1.010331,-0.048649,-1.292014,-0.405952,0.122357,-0.78549,-0.403088,-1.188578
Orlando Magic,29.0,53.0,0.353659,-1.324389,-0.660197,-0.647138,-1.329383,0.719488,-0.949002,0.440686,-0.341754,-0.693541,-0.385645,-1.079186
Los Angeles Lakers,26.0,56.0,0.317073,-0.684416,0.791545,0.652234,-0.744454,2.178949,0.308711,-0.60133,0.164548,-0.452874,-0.93935,-1.392224
