Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Golden State Warriors,1.753046,67.0,15.0,0.817,2.638425123921754,2.7078796395968574
San Antonio Spurs,1.421503,61.0,21.0,0.744,1.7286233570521836,1.7010732890154707
Houston Rockets,0.754879,55.0,27.0,0.671,1.2964675177891378,1.3933054709467532
Toronto Raptors,0.913054,51.0,31.0,0.622,1.023526987728267,0.8708159193417206
Los Angeles Clippers,0.804978,51.0,31.0,0.622,1.023526987728267,1.0545222913672343
Utah Jazz,0.921041,51.0,31.0,0.622,0.978036899384788,0.9543188157169542
Cleveland Cavaliers,0.261514,51.0,31.0,0.622,0.7505864576673955,0.6847237502769147
Boston Celtics,0.321269,53.0,29.0,0.646,0.6368612368086992,0.5368043338407867
Washington Wizards,0.070993,49.0,33.0,0.598,0.4321558392630459,0.3244683973437644
Miami Heat,0.25576,41.0,41.0,0.5,0.2501954858891319,0.1837063720255136
Oklahoma City Thunder,0.280012,47.0,35.0,0.573,0.181960353373914,0.2719808624793319
Memphis Grizzlies,0.160446,43.0,39.0,0.524,0.1364702650304355,0.229036515772069
Denver Nuggets,-0.163504,40.0,42.0,0.488,0.1137252208586963,0.1670057927504669
Chicago Bulls,0.17342,41.0,41.0,0.5,0.090980176686957,0.0071573911178771
Charlotte Hornets,0.33067,36.0,46.0,0.439,0.0454900883434785,-0.0167005792750467
Indiana Pacers,-0.06737,42.0,40.0,0.512,-0.0454900883434785,-0.1526910105147126
Milwaukee Bucks,-0.063522,42.0,40.0,0.512,-0.0454900883434785,-0.1073608667681573
Portland Trail Blazers,-0.131455,41.0,41.0,0.5,-0.1137252208586963,-0.0548733319037248
Atlanta Hawks,0.101146,43.0,39.0,0.524,-0.181960353373914,-0.2934530358329634
Detroit Pistons,0.064142,37.0,45.0,0.451,-0.2501954858891319,-0.3077678180687177
Minnesota Timberwolves,-0.292407,31.0,51.0,0.378,-0.2729405300608711,-0.1526910105147126
New Orleans Pelicans,-0.18182,34.0,48.0,0.415,-0.5003909717782637,-0.4031996996404131
Dallas Mavericks,-0.458953,33.0,49.0,0.402,-0.7278414134956563,-0.6036066509409734
New York Knicks,-0.794127,31.0,51.0,0.378,-0.8643116785260918,-0.9233034542061532
Sacramento Kings,-0.852317,32.0,50.0,0.39,-0.9098017668695704,-0.7849272259271949
Phoenix Suns,-0.867078,24.0,58.0,0.293,-1.2737224736173984,-1.226299678196286
Philadelphia 76ers,-1.055326,28.0,54.0,0.341,-1.2964675177891378,-1.3909196739074607
Brooklyn Nets,-1.188578,20.0,62.0,0.244,-1.501172915334791,-1.608027204483068
Orlando Magic,-1.079186,29.0,53.0,0.354,-1.5466630036782696,-1.5770118429722668
Los Angeles Lakers,-1.392224,26.0,56.0,0.317,-1.5921530920217482,-1.5006663377149103
