Team,W,L,W/L%,SRS_norm
Boston Celtics,53,29,0.646,0.5368043338407867
Cleveland Cavaliers,51,31,0.622,0.6847237502769147
Toronto Raptors,51,31,0.622,0.8708159193417206
Washington Wizards,49,33,0.598,0.3244683973437644
Atlanta Hawks,43,39,0.524,-0.2934530358329634
Milwaukee Bucks,42,40,0.512,-0.10736086676815734
Indiana Pacers,42,40,0.512,-0.15269101051471268
Chicago Bulls,41,41,0.5,0.007157391117877156
Miami Heat,41,41,0.5,0.18370637202551368
Detroit Pistons,37,45,0.451,-0.3077678180687177
Charlotte Hornets,36,46,0.439,-0.0167005792750467
New York Knicks,31,51,0.378,-0.9233034542061532
Orlando Magic,29,53,0.354,-1.5770118429722668
Philadelphia 76ers,28,54,0.341,-1.3909196739074607
Brooklyn Nets,20,62,0.244,-1.608027204483068
Golden State Warriors,67,15,0.817,2.7078796395968574
San Antonio Spurs,61,21,0.744,1.7010732890154707
Houston Rockets,55,27,0.671,1.3933054709467532
Los Angeles Clippers,51,31,0.622,1.0545222913672343
Utah Jazz,51,31,0.622,0.9543188157169542
Oklahoma City Thunder,47,35,0.573,0.2719808624793319
Memphis Grizzlies,43,39,0.524,0.229036515772069
Portland Trail Blazers,41,41,0.5,-0.05487333190372487
Denver Nuggets,40,42,0.488,0.16700579275046698
New Orleans Pelicans,34,48,0.415,-0.40319969964041313
Dallas Mavericks,33,49,0.402,-0.6036066509409734
Sacramento Kings,32,50,0.39,-0.7849272259271949
Minnesota Timberwolves,31,51,0.378,-0.15269101051471268
Los Angeles Lakers,26,56,0.317,-1.5006663377149105
Phoenix Suns,24,58,0.293,-1.226299678196286
