Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Dallas Mavericks,0.990853,60.0,22.0,0.732,1.812393253515324,1.8795907964635208
Sacramento Kings,1.168681,59.0,23.0,0.72,1.4671754909409769,1.589324875997003
San Antonio Spurs,1.393995,60.0,22.0,0.732,1.2729904994929064,1.3442643037998605
New Jersey Nets,1.128045,49.0,33.0,0.598,1.2298382791711129,1.0516191544770588
Detroit Pistons,0.776654,50.0,32.0,0.61,0.906196626757662,0.7066309703160327
Indiana Pacers,0.891239,48.0,34.0,0.585,0.8198921861140752,0.6638048509029397
Portland Trail Blazers,0.570145,50.0,32.0,0.61,0.6257071946660048,0.7066309703160327
Utah Jazz,0.646062,47.0,35.0,0.573,0.5825549743442114,0.6566671643340909
Los Angeles Lakers,0.373903,50.0,32.0,0.61,0.5394027540224179,0.6447710200526763
Philadelphia 76ers,0.300051,48.0,34.0,0.585,0.5394027540224179,0.4187442787057971
Minnesota Timberwolves,0.491728,51.0,31.0,0.622,0.4962505337006244,0.5852902986456028
New Orleans Hornets,0.555555,47.0,35.0,0.573,0.4962505337006244,0.3616427861550066
Houston Rockets,0.398087,43.0,39.0,0.524,0.3667938727352441,0.4496742538374753
Phoenix Suns,0.214498,44.0,38.0,0.537,0.2589133219307606,0.3735389304364213
Orlando Magic,-0.182572,42.0,40.0,0.512,0.0431522203217934,-0.0927899253950346
Milwaukee Bucks,-0.371122,42.0,40.0,0.512,0.0431522203217934,-0.0571014925507905
Seattle SuperSonics,-0.127659,40.0,42.0,0.488,-0.0431522203217934,0.0880314676824687
Boston Celtics,0.008855,44.0,38.0,0.537,-0.0863044406435868,-0.1784421642212203
Washington Wizards,-0.108111,37.0,45.0,0.451,-0.2373372117698639,-0.3497466418735919
Golden State Warriors,-0.372171,38.0,44.0,0.463,-0.2589133219307606,-0.1427537313769762
New York Knicks,-0.74256,37.0,45.0,0.451,-0.3236416524134508,-0.383055845861553
Memphis Grizzlies,-0.82491,28.0,54.0,0.341,-0.7335877454704883,-0.618599502633564
Atlanta Hawks,-0.578283,35.0,47.0,0.427,-0.8198921861140752,-0.9207615673814972
Los Angeles Clippers,-0.696576,27.0,55.0,0.329,-0.9709249572403522,-0.8208339554176137
Chicago Bulls,-0.988156,30.0,52.0,0.366,-1.1651099486884229,-1.2633705226862402
Miami Heat,-0.813595,25.0,57.0,0.305,-1.2298382791711129,-1.2205444032731474
Toronto Raptors,-1.267665,24.0,58.0,0.293,-1.4024471604582869,-1.4513296023325923
Denver Nuggets,-1.342842,17.0,65.0,0.207,-1.963426024641601,-1.7630085825056572
Cleveland Cavaliers,-1.492135,17.0,65.0,0.207,-2.200763236411465,-2.2816804731753377
