Team,W,L,W/L%,SRS_norm
New Jersey Nets,49,33,0.598,1.0516191544770588
Philadelphia 76ers,48,34,0.585,0.4187442787057971
Boston Celtics,44,38,0.537,-0.17844216422122036
Orlando Magic,42,40,0.512,-0.0927899253950346
Washington Wizards,37,45,0.451,-0.3497466418735919
New York Knicks,37,45,0.451,-0.38305584586155306
Miami Heat,25,57,0.305,-1.2205444032731474
Detroit Pistons,50,32,0.61,0.7066309703160327
Indiana Pacers,48,34,0.585,0.6638048509029397
New Orleans Hornets,47,35,0.573,0.3616427861550066
Milwaukee Bucks,42,40,0.512,-0.057101492550790514
Atlanta Hawks,35,47,0.427,-0.9207615673814972
Chicago Bulls,30,52,0.366,-1.2633705226862402
Toronto Raptors,24,58,0.293,-1.4513296023325923
Cleveland Cavaliers,17,65,0.207,-2.2816804731753377
San Antonio Spurs,60,22,0.732,1.3442643037998603
Dallas Mavericks,60,22,0.732,1.8795907964635212
Minnesota Timberwolves,51,31,0.622,0.5852902986456028
Utah Jazz,47,35,0.573,0.6566671643340909
Houston Rockets,43,39,0.524,0.4496742538374753
Memphis Grizzlies,28,54,0.341,-0.618599502633564
Denver Nuggets,17,65,0.207,-1.7630085825056572
Sacramento Kings,59,23,0.72,1.5893248759970027
Los Angeles Lakers,50,32,0.61,0.6447710200526763
Portland Trail Blazers,50,32,0.61,0.7066309703160327
Phoenix Suns,44,38,0.537,0.37353893043642133
Seattle SuperSonics,40,42,0.488,0.08803146768246871
Golden State Warriors,38,44,0.463,-0.14275373137697628
Los Angeles Clippers,27,55,0.329,-0.8208339554176137
