Team,W,L,W/L%,NRtg,NRtg_norm
Dallas Mavericks,60.0,22.0,0.732,8.4,1.8123932535153242
Sacramento Kings,59.0,23.0,0.72,6.8,1.4671754909409767
San Antonio Spurs,60.0,22.0,0.732,5.9,1.2729904994929064
New Jersey Nets,49.0,33.0,0.598,5.7,1.2298382791711129
Detroit Pistons,50.0,32.0,0.61,4.2,0.9061966267576621
Indiana Pacers,48.0,34.0,0.585,3.8,0.8198921861140752
Portland Trail Blazers,50.0,32.0,0.61,2.9,0.6257071946660048
Utah Jazz,47.0,35.0,0.573,2.7,0.5825549743442114
Los Angeles Lakers,50.0,32.0,0.61,2.5,0.5394027540224179
Philadelphia 76ers,48.0,34.0,0.585,2.5,0.5394027540224179
Minnesota Timberwolves,51.0,31.0,0.622,2.3,0.49625053370062444
New Orleans Hornets,47.0,35.0,0.573,2.3,0.49625053370062444
Houston Rockets,43.0,39.0,0.524,1.7,0.36679387273524416
Phoenix Suns,44.0,38.0,0.537,1.2,0.2589133219307606
Orlando Magic,42.0,40.0,0.512,0.2,0.04315222032179344
Milwaukee Bucks,42.0,40.0,0.512,0.2,0.04315222032179344
Seattle SuperSonics,40.0,42.0,0.488,-0.2,-0.04315222032179344
Boston Celtics,44.0,38.0,0.537,-0.4,-0.08630444064358687
Washington Wizards,37.0,45.0,0.451,-1.1,-0.23733721176986391
Golden State Warriors,38.0,44.0,0.463,-1.2,-0.2589133219307606
New York Knicks,37.0,45.0,0.451,-1.5,-0.3236416524134508
Memphis Grizzlies,28.0,54.0,0.341,-3.4,-0.7335877454704883
Atlanta Hawks,35.0,47.0,0.427,-3.8,-0.8198921861140752
Los Angeles Clippers,27.0,55.0,0.329,-4.5,-0.9709249572403522
Chicago Bulls,30.0,52.0,0.366,-5.4,-1.1651099486884229
Miami Heat,25.0,57.0,0.305,-5.7,-1.2298382791711129
Toronto Raptors,24.0,58.0,0.293,-6.5,-1.4024471604582867
Denver Nuggets,17.0,65.0,0.207,-9.1,-1.963426024641601
Cleveland Cavaliers,17.0,65.0,0.207,-10.2,-2.200763236411465
League Average,,,,,
