Team,W,L,W/L%,SRS_norm
Miami Heat,52,30,0.634,0.5983298114420021
New York Knicks,50,32,0.61,0.28284681995440103
Philadelphia 76ers,49,33,0.598,0.2219259664257608
Orlando Magic,41,41,0.5,0.09355702506184034
Boston Celtics,35,47,0.427,-0.21757447688800077
New Jersey Nets,31,51,0.378,-0.2567378827278409
Washington Wizards,29,53,0.354,-0.7549834348013628
Indiana Pacers,56,26,0.683,0.9029340790852033
Charlotte Hornets,49,33,0.598,0.5069485311490418
Toronto Raptors,45,37,0.549,-0.10008425936848037
Detroit Pistons,42,40,0.512,0.24585915888344087
Milwaukee Bucks,42,40,0.512,-0.013054468613280046
Cleveland Cavaliers,32,50,0.39,-0.7919710958723228
Atlanta Hawks,28,54,0.341,-1.1770779199640842
Chicago Bulls,17,65,0.207,-2.008212421676247
Utah Jazz,55,27,0.671,0.9834366355337635
San Antonio Spurs,53,29,0.646,1.2880409031769646
Minnesota Timberwolves,50,32,0.61,0.5809238532909621
Dallas Mavericks,40,42,0.488,-0.06309659829752022
Denver Nuggets,35,47,0.427,-0.3829310793228814
Houston Rockets,34,48,0.415,-0.12401745182616043
Vancouver Grizzlies,22,60,0.268,-1.1096298321288038
Los Angeles Lakers,67,15,0.817,1.8298013506280866
Portland Trail Blazers,59,23,0.72,1.383773673007685
Phoenix Suns,53,29,0.646,1.140090258893124
Seattle SuperSonics,45,37,0.549,0.2545621379589609
Sacramento Kings,44,38,0.537,0.6614264097395224
Golden State Warriors,19,63,0.232,-1.660093258655446
Los Angeles Clippers,15,67,0.183,-2.3345741370082487
