Team,W,L,W/L%,NRtg,NRtg_norm
Los Angeles Lakers,67.0,15.0,0.817,9.1,1.7701291454916226
Portland Trail Blazers,59.0,23.0,0.72,7.1,1.3810897728561011
San Antonio Spurs,53.0,29.0,0.646,6.4,1.2449259924336689
Phoenix Suns,53.0,29.0,0.646,5.6,1.0893102433794601
Utah Jazz,55.0,27.0,0.671,5.0,0.9725984315888037
Indiana Pacers,56.0,26.0,0.683,4.9,0.9531464629570277
Miami Heat,52.0,30.0,0.634,3.5,0.6808189021121626
Sacramento Kings,44.0,38.0,0.537,2.9,0.5641070903215061
Charlotte Hornets,49.0,33.0,0.598,2.9,0.5641070903215061
Minnesota Timberwolves,50.0,32.0,0.61,2.7,0.5252031530579541
New York Knicks,50.0,32.0,0.61,1.6,0.3112314981084172
Detroit Pistons,42.0,40.0,0.512,1.5,0.2917795294766411
Philadelphia 76ers,49.0,33.0,0.598,1.5,0.2917795294766411
Seattle SuperSonics,45.0,37.0,0.549,1.0,0.19451968631776073
Orlando Magic,41.0,41.0,0.5,0.7,0.13616378042243252
Milwaukee Bucks,42.0,40.0,0.512,0.3,0.05835590589532822
Toronto Raptors,45.0,37.0,0.549,-0.2,-0.03890393726355215
Dallas Mavericks,40.0,42.0,0.488,-0.6,-0.11671181179065644
Boston Celtics,35.0,47.0,0.427,-0.8,-0.1556157490542086
Houston Rockets,34.0,48.0,0.415,-0.9,-0.17506771768598467
New Jersey Nets,31.0,51.0,0.378,-1.2,-0.23342362358131288
Denver Nuggets,35.0,47.0,0.427,-2.3,-0.44739527853084965
Washington Wizards,29.0,53.0,0.354,-3.5,-0.6808189021121626
Cleveland Cavaliers,32.0,50.0,0.39,-3.6,-0.7002708707439387
Atlanta Hawks,28.0,54.0,0.341,-5.9,-1.1476661492747884
Vancouver Grizzlies,22.0,60.0,0.268,-6.2,-1.2060220551701166
Golden State Warriors,19.0,63.0,0.232,-8.6,-1.6728693023327423
Chicago Bulls,17.0,65.0,0.207,-10.4,-2.023004737704712
Los Angeles Clippers,15.0,67.0,0.183,-12.3,-2.392592141708457
League Average,,,,,
