Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Los Angeles Lakers,1.626427,67.0,15.0,0.817,1.7701291454916226,1.8298013506280864
Portland Trail Blazers,1.249868,59.0,23.0,0.72,1.3810897728561011,1.383773673007685
San Antonio Spurs,1.23099,53.0,29.0,0.646,1.2449259924336689,1.2880409031769646
Phoenix Suns,0.84131,53.0,29.0,0.646,1.08931024337946,1.140090258893124
Utah Jazz,0.823145,55.0,27.0,0.671,0.9725984315888035,0.9834366355337636
Indiana Pacers,0.621549,56.0,26.0,0.683,0.9531464629570277,0.9029340790852032
Miami Heat,0.767549,52.0,30.0,0.634,0.6808189021121626,0.5983298114420021
Sacramento Kings,0.212417,44.0,38.0,0.537,0.5641070903215061,0.6614264097395224
Charlotte Hornets,0.559732,49.0,33.0,0.598,0.5641070903215061,0.5069485311490418
Minnesota Timberwolves,0.462225,50.0,32.0,0.61,0.5252031530579541,0.5809238532909621
New York Knicks,0.131175,50.0,32.0,0.61,0.3112314981084172,0.282846819954401
Detroit Pistons,0.26133,42.0,40.0,0.512,0.2917795294766411,0.2458591588834408
Philadelphia 76ers,0.331868,49.0,33.0,0.598,0.2917795294766411,0.2219259664257608
Seattle SuperSonics,0.1188,45.0,37.0,0.549,0.1945196863177607,0.2545621379589609
Orlando Magic,0.156456,41.0,41.0,0.5,0.1361637804224325,0.0935570250618403
Milwaukee Bucks,-0.049791,42.0,40.0,0.512,0.0583559058953282,-0.01305446861328
Toronto Raptors,0.014665,45.0,37.0,0.549,-0.0389039372635521,-0.1000842593684803
Dallas Mavericks,-0.547,40.0,42.0,0.488,-0.1167118117906564,-0.0630965982975202
Boston Celtics,-0.072822,35.0,47.0,0.427,-0.1556157490542086,-0.2175744768880007
Houston Rockets,-0.110108,34.0,48.0,0.415,-0.1750677176859846,-0.1240174518261604
New Jersey Nets,-0.449459,31.0,51.0,0.378,-0.2334236235813128,-0.2567378827278409
Denver Nuggets,-0.289086,35.0,47.0,0.427,-0.4473952785308496,-0.3829310793228814
Washington Wizards,-0.480125,29.0,53.0,0.354,-0.6808189021121626,-0.7549834348013628
Cleveland Cavaliers,-0.458907,32.0,50.0,0.39,-0.7002708707439387,-0.7919710958723228
Atlanta Hawks,-0.79051,28.0,54.0,0.341,-1.1476661492747884,-1.1770779199640842
Vancouver Grizzlies,-0.871989,22.0,60.0,0.268,-1.2060220551701166,-1.1096298321288038
Golden State Warriors,-1.357924,19.0,63.0,0.232,-1.6728693023327423,-1.660093258655446
Chicago Bulls,-1.785814,17.0,65.0,0.207,-2.023004737704712,-2.008212421676247
Los Angeles Clippers,-2.145974,15.0,67.0,0.183,-2.392592141708457,-2.3345741370082487
