Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Los Angeles Lakers,82,36.8,88.6,.416,4.8,14.8,.326,32.0,73.8,.434,19.7,26.5,.742,13.1,32.9,45.9,20.7,8.1,4.5,15.5,27.3,98.2
2,San Antonio Spurs,82,38.4,90.3,.425,4.7,13.8,.343,33.7,76.5,.440,17.0,23.0,.739,13.1,32.1,45.2,22.2,8.6,5.7,15.7,25.2,98.6
3,Phoenix Suns,82,36.4,85.9,.424,5.2,14.8,.352,31.2,71.1,.439,21.0,28.4,.739,13.8,31.8,45.6,21.9,9.4,5.5,18.3,23.1,99.0
4,Philadelphia 76ers,82,37.4,86.1,.435,5.4,15.3,.356,32.0,70.8,.452,19.7,26.1,.755,13.9,32.7,46.6,23.9,8.2,6.9,18.9,25.8,100.0
5,Portland Trail Blazers,82,38.1,88.5,.431,5.3,16.1,.330,32.8,72.4,.453,19.2,26.8,.716,13.2,30.0,43.2,23.0,8.8,4.7,16.0,25.3,100.8
6,New York Knicks,82,36.8,86.8,.424,5.5,16.2,.338,31.3,70.6,.444,21.8,29.2,.747,12.6,33.1,45.7,21.8,8.2,4.8,15.8,24.4,100.9
7,Miami Heat,82,37.5,89.0,.422,5.5,15.3,.361,32.0,73.8,.434,20.4,27.3,.748,13.1,31.6,44.7,21.4,8.4,4.9,15.5,24.2,101.0
8,Charlotte Hornets,82,39.4,88.0,.448,5.3,14.0,.378,34.1,74.0,.461,17.4,23.3,.745,12.5,32.9,45.4,24.6,7.8,5.4,16.8,26.8,101.4
9,Orlando Magic,82,38.4,86.4,.445,5.4,15.9,.338,33.0,70.4,.469,19.6,26.3,.745,13.7,30.9,44.5,24.9,9.0,5.9,18.6,25.1,101.7
10,Sacramento Kings,82,39.9,88.4,.452,4.8,13.7,.353,35.1,74.6,.470,17.5,23.3,.751,14.0,33.7,47.6,23.8,9.2,4.9,17.5,23.7,102.1
11,Utah Jazz,82,37.7,84.6,.446,5.3,14.9,.354,32.4,69.7,.465,21.7,29.0,.746,12.0,30.3,42.3,22.0,8.0,5.6,17.2,27.4,102.3
12,Minnesota Timberwolves,82,38.4,86.4,.445,5.0,14.0,.356,33.4,72.4,.462,21.6,28.7,.752,12.0,32.1,44.1,22.8,7.8,4.5,16.2,22.1,103.4
13,Indiana Pacers,82,40.7,91.2,.446,4.3,13.1,.327,36.4,78.1,.466,18.0,23.8,.755,13.6,33.3,46.9,22.7,8.0,4.2,14.7,25.0,103.6
14,Cleveland Cavaliers,82,37.7,85.1,.443,5.3,15.5,.342,32.4,69.6,.465,23.4,30.1,.776,12.8,32.7,45.5,24.5,8.3,6.3,17.5,26.0,104.0
15,Seattle SuperSonics,82,40.7,90.2,.451,5.7,16.8,.340,35.0,73.4,.477,17.5,23.3,.748,14.1,33.9,48.0,25.2,7.7,5.6,16.3,23.9,104.6
16,Chicago Bulls,82,39.5,86.7,.456,4.9,14.2,.341,34.7,72.4,.478,20.8,28.0,.741,13.5,32.7,46.3,25.8,11.6,6.2,16.9,26.6,104.6
17,Toronto Raptors,82,39.4,86.9,.454,4.5,13.4,.339,34.9,73.5,.475,21.4,28.1,.764,12.6,33.5,46.2,23.5,7.3,5.7,16.4,24.6,104.9
18,Boston Celtics,82,38.1,81.1,.470,4.6,12.8,.361,33.4,68.3,.490,24.8,33.0,.753,11.0,32.6,43.6,23.1,8.2,6.1,17.9,24.8,105.6
19,Houston Rockets,82,41.4,90.9,.456,4.5,12.7,.354,37.0,78.2,.473,18.3,23.5,.779,13.2,31.5,44.7,23.9,9.4,5.6,14.5,23.6,105.7
20,Detroit Pistons,82,39.5,84.8,.465,5.8,15.6,.371,33.7,69.2,.486,21.1,28.3,.746,12.3,31.7,44.0,24.0,8.2,5.0,17.7,28.1,105.8
21,Denver Nuggets,82,39.9,88.7,.450,5.1,14.4,.354,34.8,74.3,.469,20.8,27.7,.751,13.1,33.2,46.4,25.6,7.9,5.9,15.0,24.7,105.8
22,New Jersey Nets,82,40.9,88.2,.464,4.8,13.3,.363,36.1,74.9,.481,19.7,26.3,.747,14.8,34.8,49.5,24.4,7.4,6.1,17.9,24.5,106.3
23,Washington Wizards,82,39.3,85.6,.459,5.1,13.7,.371,34.2,71.8,.476,23.4,31.4,.744,12.6,31.6,44.2,23.4,9.0,6.6,16.0,25.7,107.0
24,Dallas Mavericks,82,41.3,90.4,.457,5.5,15.9,.345,35.8,74.4,.481,19.0,25.7,.740,16.0,34.8,50.9,24.4,7.7,5.3,16.9,23.2,107.2
25,Milwaukee Bucks,82,39.5,86.6,.457,6.9,17.7,.391,32.6,68.9,.473,22.0,29.2,.752,13.5,30.9,44.4,25.9,8.3,4.4,17.0,24.4,107.9
26,Atlanta Hawks,82,42.4,93.1,.455,4.9,13.4,.367,37.4,79.7,.469,18.2,23.7,.769,13.9,32.6,46.5,24.9,8.6,5.3,13.2,24.1,107.9
27,Golden State Warriors,82,40.3,86.3,.467,5.4,14.8,.367,34.9,71.5,.488,22.3,29.6,.754,13.9,34.3,48.2,25.9,8.8,6.3,17.0,24.0,108.4
28,Vancouver Grizzlies,82,41.7,87.9,.474,4.8,14.4,.333,36.9,73.5,.502,20.3,26.4,.769,12.9,31.0,43.9,25.7,9.6,6.9,16.4,25.4,108.5
29,Los Angeles Clippers,82,42.5,89.2,.477,5.4,14.0,.387,37.1,75.2,.494,19.6,26.5,.741,13.5,35.0,48.5,25.6,8.1,4.9,15.2,22.4,110.1
