Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Boston Celtics,64,18,.780,0.0,120.6,109.2,10.75
New York Knicks,50,32,.610,7.0,112.8,108.2,4.36
Milwaukee Bucks,49,33,.598,7.5,119.0,116.4,2.44
Cleveland Cavaliers,48,34,.585,8.0,112.6,110.2,1.98
Orlando Magic,47,35,.573,8.5,110.5,108.4,1.48
Indiana Pacers,47,35,.573,8.5,123.3,120.2,2.75
Philadelphia 76ers,47,35,.573,8.5,114.6,111.5,2.51
Miami Heat,46,36,.561,9.0,110.1,108.4,1.10
Chicago Bulls,39,43,.476,12.5,112.3,113.7,-1.77
Atlanta Hawks,36,46,.439,14.0,118.3,120.5,-2.38
Brooklyn Nets,32,50,.390,16.0,110.4,113.3,-3.02
Toronto Raptors,25,57,.305,19.5,112.4,118.8,-6.45
Charlotte Hornets,21,61,.256,21.5,106.6,116.8,-10.12
Washington Wizards,15,67,.183,24.5,113.7,123.0,-9.29
Detroit Pistons,14,68,.171,25.0,109.9,119.0,-9.06
Oklahoma City Thunder,57,25,.695,3.5,120.1,112.7,7.36
Denver Nuggets,57,25,.695,3.5,114.9,109.6,5.23
Minnesota Timberwolves,56,26,.683,4.0,113.0,106.5,6.39
Los Angeles Clippers,51,31,.622,6.5,115.6,112.3,3.41
Dallas Mavericks,50,32,.610,7.0,117.9,115.6,2.30
Phoenix Suns,49,33,.598,7.5,116.2,113.2,3.08
New Orleans Pelicans,49,33,.598,7.5,115.1,110.7,4.46
Los Angeles Lakers,47,35,.573,8.5,118.0,117.4,1.07
Sacramento Kings,46,36,.561,9.0,116.6,114.8,2.29
Golden State Warriors,46,36,.561,9.0,117.8,115.2,2.77
Houston Rockets,41,41,.500,11.5,114.3,113.2,1.24
Utah Jazz,31,51,.378,16.5,115.7,120.5,-4.22
Memphis Grizzlies,27,55,.329,18.5,105.8,112.8,-6.57
San Antonio Spurs,22,60,.268,21.0,112.1,118.6,-5.80
Portland Trail Blazers,21,61,.256,21.5,106.4,115.4,-8.29
