Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Phoenix Suns,82,241.2,42.0,90.6,.464,13.1,36.0,.364,28.9,54.6,.529,16.1,20.8,.774,11.0,30.4,41.3,26.3,8.4,4.5,12.7,19.7,113.2
15,Brooklyn Nets,82,241.5,41.6,88.5,.470,13.0,34.9,.372,28.6,53.5,.534,17.1,21.2,.807,10.3,34.0,44.3,25.5,6.9,5.0,12.6,18.2,113.3
16,Chicago Bulls,82,243.7,41.1,87.0,.473,14.6,39.5,.370,26.5,47.5,.558,16.9,21.8,.776,10.1,33.3,43.4,27.9,6.8,4.9,14.0,18.8,113.7
17,Sacramento Kings,82,242.1,41.6,86.8,.480,13.1,33.8,.387,28.5,52.9,.539,18.5,23.1,.800,9.1,33.4,42.5,26.9,7.4,4.5,13.9,18.3,114.8
18,Golden State Warriors,82,241.8,42.1,90.4,.466,13.3,37.0,.359,28.8,53.5,.539,17.7,22.4,.788,10.9,32.0,42.9,26.7,7.7,5.0,13.0,17.9,115.2
19,Portland Trail Blazers,82,242.4,42.5,86.6,.491,11.7,33.3,.351,30.8,53.3,.578,18.7,23.6,.792,10.6,33.2,43.8,27.1,8.9,6.4,14.3,17.9,115.4
20,Dallas Mavericks,82,240.3,43.0,90.4,.475,13.1,35.6,.368,29.8,54.8,.545,16.6,21.6,.770,10.9,34.1,45.1,27.5,7.4,4.0,13.7,20.3,115.6
21,Milwaukee Bucks,82,241.5,43.2,91.9,.470,12.6,35.3,.356,30.6,56.6,.541,17.4,21.5,.807,10.3,33.7,44.0,26.5,7.1,4.2,12.0,19.2,116.4
22,Charlotte Hornets,82,240.6,43.4,87.7,.494,13.6,36.2,.377,29.7,51.5,.577,16.5,20.7,.796,10.6,34.8,45.4,28.7,7.1,4.8,13.6,17.5,116.8
23,Los Angeles Lakers,82,242.1,44.4,93.7,.474,14.3,37.9,.376,30.2,55.8,.540,14.3,18.0,.795,10.9,33.2,44.0,28.2,8.2,4.8,13.4,19.7,117.4
24,San Antonio Spurs,82,241.8,44.9,92.3,.487,12.7,34.0,.373,32.2,58.3,.553,16.0,20.5,.784,10.5,34.8,45.3,28.0,8.9,4.6,13.4,17.9,118.6
25,Toronto Raptors,82,241.5,44.7,91.2,.491,13.7,36.3,.376,31.1,54.8,.567,15.6,19.8,.789,11.2,34.0,45.2,28.6,7.3,5.8,13.9,18.1,118.8
26,Detroit Pistons,82,240.9,43.6,89.0,.490,12.1,32.7,.370,31.5,56.3,.560,19.6,24.5,.800,9.6,33.5,43.1,27.0,8.9,6.0,12.4,17.8,119.0
27,Indiana Pacers,82,240.3,44.5,89.8,.496,10.7,29.3,.365,33.9,60.5,.560,20.5,26.0,.787,11.0,32.4,43.4,24.6,6.6,5.4,13.9,18.3,120.2
28,Atlanta Hawks,82,242.1,44.6,90.2,.495,14.0,36.4,.384,30.6,53.7,.570,17.3,21.8,.792,10.6,33.6,44.2,28.2,7.8,5.6,14.1,19.4,120.5
29,Utah Jazz,82,241.5,44.6,91.6,.487,14.8,37.4,.395,29.8,54.1,.550,16.6,21.6,.771,11.0,31.3,42.2,29.8,8.6,6.4,12.3,19.2,120.5
30,Washington Wizards,82,240.6,46.1,92.9,.496,12.3,33.9,.362,33.8,59.0,.573,18.6,24.0,.777,12.1,36.8,48.9,29.0,8.0,6.0,14.0,18.0,123.0
,League Average,82,241.4,42.2,88.9,.474,12.8,35.1,.366,29.3,53.8,.545,17.0,21.7,.784,10.6,33.0,43.5,26.7,7.5,5.1,13.6,18.7,114.2
