Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
15,Los Angeles Lakers,82,42.9,86.0,.499,11.6,30.8,.377,31.3,55.2,.567,18.6,23.8,.782,8.1,34.2,42.3,28.0,7.2,5.4,13.7,15.4,115.9
16,Minnesota Timberwolves,82,42.2,87.0,.485,12.9,33.5,.387,29.3,53.6,.546,18.2,23.5,.777,9.6,35.0,44.6,27.3,8.1,6.2,14.5,19.3,115.6
17,Utah Jazz,82,41.9,89.8,.467,12.9,36.5,.354,29.0,53.3,.544,18.7,22.6,.830,12.2,33.2,45.4,27.2,6.5,5.6,15.7,18.6,115.5
18,Cleveland Cavaliers,82,42.7,89.2,.479,13.8,37.6,.367,28.9,51.5,.561,15.9,20.8,.765,10.1,34.2,44.3,28.7,7.5,4.7,13.9,17.9,115.2
19,Chicago Bulls,82,43.0,91.6,.470,11.7,32.8,.358,31.3,58.7,.532,17.1,21.6,.791,11.4,33.4,44.8,25.6,8.0,4.9,12.5,19.2,114.9
20,Houston Rockets,82,41.8,91.1,.459,12.7,36.2,.352,29.1,54.9,.530,18.1,23.4,.773,11.5,34.0,45.5,24.9,7.8,4.6,12.8,20.8,114.5
21,Miami Heat,82,41.2,88.7,.465,12.9,34.9,.370,28.3,53.8,.527,18.7,22.8,.818,9.7,34.1,43.8,26.7,7.8,3.5,13.1,17.9,114.0
22,Orlando Magic,82,41.5,87.2,.476,11.3,32.1,.352,30.2,55.0,.549,19.0,25.1,.759,10.8,32.6,43.4,25.3,8.4,5.3,15.1,20.3,113.4
23,Brooklyn Nets,82,41.7,91.4,.456,13.6,37.6,.362,28.1,53.7,.522,16.2,21.4,.756,11.7,33.4,45.2,26.3,7.0,5.3,13.5,19.0,113.2
24,Toronto Raptors,82,42.3,89.7,.471,11.5,33.1,.347,30.8,56.6,.543,16.3,21.6,.756,10.9,31.8,42.6,28.5,7.7,4.7,14.0,18.4,112.3
25,Washington Wizards,82,41.7,88.8,.470,12.0,34.5,.348,29.7,54.2,.548,15.0,19.6,.764,8.9,31.0,39.9,27.1,7.4,4.9,13.6,19.4,110.5
26,San Antonio Spurs,82,41.2,89.0,.462,12.4,35.7,.347,28.8,53.3,.539,15.3,19.6,.782,10.2,33.3,43.4,29.3,7.0,6.2,14.9,16.9,110.0
27,Detroit Pistons,82,40.8,88.1,.463,11.0,31.7,.348,29.8,56.4,.528,17.0,21.7,.785,10.5,32.8,43.3,25.4,6.5,4.7,15.2,20.6,109.7
28,Charlotte Hornets,82,41.0,89.2,.460,12.4,34.9,.355,28.7,54.3,.528,14.9,18.9,.786,9.6,31.7,41.3,25.4,7.0,4.6,14.1,18.4,109.3
29,Portland Trail Blazers,82,40.1,91.3,.439,11.7,33.8,.345,28.4,57.5,.494,16.5,20.9,.791,12.9,30.7,43.5,23.5,7.8,4.4,15.5,20.5,108.3
30,Memphis Grizzlies,82,38.9,89.3,.435,13.2,38.3,.346,25.6,51.1,.502,16.3,21.3,.764,11.1,32.1,43.2,25.0,8.3,6.2,15.3,19.3,107.2
