Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Boston Celtics,1.69006,64.0,18.0,0.78,2.0644051129882537,1.9978658999061845
Oklahoma City Thunder,1.084741,57.0,25.0,0.695,1.316948089320093,1.3678412114706529
Minnesota Timberwolves,1.305294,56.0,26.0,0.683,1.17457532290711,1.187568660502374
Denver Nuggets,0.666274,57.0,25.0,0.695,0.9788127690892584,0.9719849913031948
New York Knicks,0.702044,50.0,32.0,0.61,0.8542365984778981,0.8102972394038107
New Orleans Pelicans,1.027495,49.0,33.0,0.598,0.8008468110730295,0.8288820384727054
Los Angeles Clippers,0.478488,51.0,31.0,0.622,0.6050842572551778,0.6337416482493107
Philadelphia 76ers,0.547968,47.0,35.0,0.573,0.5516944698503092,0.4664784566292579
Phoenix Suns,0.459198,49.0,33.0,0.598,0.5338978740486863,0.572411811321958
Indiana Pacers,-0.107644,47.0,35.0,0.573,0.5338978740486863,0.5110819743946053
Golden State Warriors,0.258904,46.0,36.0,0.561,0.4627114908421948,0.5147989342083843
Milwaukee Bucks,0.53923,49.0,33.0,0.598,0.4627114908421948,0.4534690972810316
Cleveland Cavaliers,0.488847,48.0,34.0,0.585,0.4449148950405719,0.3679790215641158
Dallas Mavericks,0.32531,50.0,32.0,0.61,0.3915251076357033,0.4274503785845789
Orlando Magic,0.692751,47.0,35.0,0.573,0.3737285118340804,0.2750550262196421
Miami Heat,0.633486,46.0,36.0,0.561,0.3203387244292118,0.2044327897578421
Sacramento Kings,0.267885,46.0,36.0,0.561,0.3025421286275889,0.4255918986776895
Houston Rockets,0.254721,41.0,41.0,0.5,0.1957625538178516,0.2304515084542947
Los Angeles Lakers,0.278232,47.0,35.0,0.573,0.1067795748097372,0.1988573500371737
Chicago Bulls,0.064644,39.0,43.0,0.476,-0.2491523412227202,-0.3289509435194369
Atlanta Hawks,-0.39785,36.0,46.0,0.439,-0.3915251076357033,-0.4423182178396947
Brooklyn Nets,-0.36989,32.0,50.0,0.39,-0.5161012782470634,-0.5612609318806211
Utah Jazz,-1.030164,31.0,51.0,0.378,-0.8720331942795211,-0.7842785207073579
San Antonio Spurs,-1.026153,22.0,60.0,0.268,-1.1389821313038642,-1.0779183459958948
Toronto Raptors,-1.032245,25.0,57.0,0.305,-1.156778727105487,-1.1987195399437107
Memphis Grizzlies,-1.134939,27.0,55.0,0.329,-1.2635583019152243,-1.2210212988263844
Detroit Pistons,-1.475772,14.0,68.0,0.171,-1.6194902179476818,-1.6837827956418634
Washington Wizards,-1.765946,15.0,67.0,0.183,-1.6194902179476818,-1.7265278335003211
Portland Trail Blazers,-1.632834,21.0,61.0,0.256,-1.6372868137493046,-1.5406798428113735
Charlotte Hornets,-1.792138,21.0,61.0,0.256,-1.868642559170402,-1.8807816657721477
