Team,W,L,W/L%,NRtg,NRtg_norm
Boston Celtics,64.0,18.0,0.78,11.6,2.0644051129882537
Oklahoma City Thunder,57.0,25.0,0.695,7.4,1.316948089320093
Minnesota Timberwolves,56.0,26.0,0.683,6.6,1.1745753229071099
Denver Nuggets,57.0,25.0,0.695,5.5,0.9788127690892583
New York Knicks,50.0,32.0,0.61,4.8,0.8542365984778981
New Orleans Pelicans,49.0,33.0,0.598,4.5,0.8008468110730295
Los Angeles Clippers,51.0,31.0,0.622,3.4,0.6050842572551778
Philadelphia 76ers,47.0,35.0,0.573,3.1,0.5516944698503092
Phoenix Suns,49.0,33.0,0.598,3.0,0.5338978740486863
Indiana Pacers,47.0,35.0,0.573,3.0,0.5338978740486863
Golden State Warriors,46.0,36.0,0.561,2.6,0.4627114908421948
Milwaukee Bucks,49.0,33.0,0.598,2.6,0.4627114908421948
Cleveland Cavaliers,48.0,34.0,0.585,2.5,0.4449148950405719
Dallas Mavericks,50.0,32.0,0.61,2.2,0.39152510763570336
Orlando Magic,47.0,35.0,0.573,2.1,0.37372851183408046
Miami Heat,46.0,36.0,0.561,1.8,0.3203387244292118
Sacramento Kings,46.0,36.0,0.561,1.7,0.3025421286275889
Houston Rockets,41.0,41.0,0.5,1.1,0.19576255381785168
Los Angeles Lakers,47.0,35.0,0.573,0.6,0.10677957480973727
Chicago Bulls,39.0,43.0,0.476,-1.4,-0.24915234122272026
Atlanta Hawks,36.0,46.0,0.439,-2.2,-0.39152510763570336
Brooklyn Nets,32.0,50.0,0.39,-2.9,-0.5161012782470634
Utah Jazz,31.0,51.0,0.378,-4.9,-0.8720331942795211
San Antonio Spurs,22.0,60.0,0.268,-6.4,-1.1389821313038642
Toronto Raptors,25.0,57.0,0.305,-6.5,-1.156778727105487
Memphis Grizzlies,27.0,55.0,0.329,-7.1,-1.2635583019152243
Detroit Pistons,14.0,68.0,0.171,-9.1,-1.6194902179476818
Washington Wizards,15.0,67.0,0.183,-9.1,-1.6194902179476818
Portland Trail Blazers,21.0,61.0,0.256,-9.2,-1.6372868137493046
Charlotte Hornets,21.0,61.0,0.256,-10.5,-1.8686425591704021
League Average,,,,,
