Team,W,L,W/L%,SRS_norm
Boston Celtics,64,18,0.78,1.9978658999061845
New York Knicks,50,32,0.61,0.8102972394038107
Milwaukee Bucks,49,33,0.598,0.45346909728103163
Cleveland Cavaliers,48,34,0.585,0.3679790215641158
Orlando Magic,47,35,0.573,0.2750550262196421
Indiana Pacers,47,35,0.573,0.5110819743946053
Philadelphia 76ers,47,35,0.573,0.4664784566292579
Miami Heat,46,36,0.561,0.20443278975784215
Chicago Bulls,39,43,0.476,-0.3289509435194369
Atlanta Hawks,36,46,0.439,-0.44231821783969477
Brooklyn Nets,32,50,0.39,-0.5612609318806211
Toronto Raptors,25,57,0.305,-1.1987195399437107
Charlotte Hornets,21,61,0.256,-1.8807816657721474
Washington Wizards,15,67,0.183,-1.7265278335003211
Detroit Pistons,14,68,0.171,-1.6837827956418634
Oklahoma City Thunder,57,25,0.695,1.3678412114706529
Denver Nuggets,57,25,0.695,0.9719849913031949
Minnesota Timberwolves,56,26,0.683,1.1875686605023739
Los Angeles Clippers,51,31,0.622,0.6337416482493107
Dallas Mavericks,50,32,0.61,0.42745037858457896
Phoenix Suns,49,33,0.598,0.572411811321958
New Orleans Pelicans,49,33,0.598,0.8288820384727054
Los Angeles Lakers,47,35,0.573,0.19885735003717372
Sacramento Kings,46,36,0.561,0.42559189867768954
Golden State Warriors,46,36,0.561,0.5147989342083843
Houston Rockets,41,41,0.5,0.23045150845429477
Utah Jazz,31,51,0.378,-0.7842785207073579
Memphis Grizzlies,27,55,0.329,-1.2210212988263844
San Antonio Spurs,22,60,0.268,-1.0779183459958948
Portland Trail Blazers,21,61,0.256,-1.5406798428113737
