Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
14,Sacramento Kings,82,41.8,87.0,.480,13.1,33.9,.387,28.6,53.1,.539,18.5,23.1,.800,9.1,33.5,42.7,27.0,7.4,4.5,13.9,18.4,115.2
15,Golden State Warriors,82,42.1,90.5,.466,13.3,37.0,.359,28.9,53.5,.539,17.7,22.4,.788,10.9,32.1,42.9,26.7,7.7,5.0,13.0,17.9,115.2
16,Los Angeles Lakers,82,43.6,92.1,.474,14.0,37.2,.376,29.6,54.8,.540,14.1,17.7,.795,10.7,32.6,43.3,27.7,8.1,4.7,13.2,19.4,115.3
17,Dallas Mavericks,82,42.9,90.2,.475,13.1,35.6,.368,29.8,54.7,.545,16.6,21.6,.770,10.9,34.1,45.0,27.5,7.3,4.0,13.7,20.3,115.4
18,Los Angeles Clippers,82,42.8,91.3,.468,13.2,36.4,.363,29.6,54.9,.538,16.7,21.5,.775,11.4,32.0,43.3,27.1,7.5,4.8,13.4,19.3,115.4
19,Milwaukee Bucks,82,43.0,91.4,.470,12.5,35.1,.356,30.5,56.3,.541,17.3,21.4,.807,10.2,33.5,43.8,26.3,7.0,4.2,12.0,19.1,115.8
20,Brooklyn Nets,82,42.6,90.7,.470,13.3,35.8,.372,29.3,54.9,.534,17.5,21.7,.807,10.5,34.9,45.4,26.1,7.0,5.1,12.9,18.7,116.1
21,Chicago Bulls,82,42.0,89.0,.473,14.9,40.4,.370,27.1,48.6,.558,17.3,22.3,.776,10.3,34.0,44.4,28.5,6.9,5.0,14.3,19.2,116.3
22,San Antonio Spurs,82,44.1,90.6,.487,12.4,33.4,.373,31.6,57.2,.553,15.8,20.1,.784,10.3,34.2,44.5,27.5,8.8,4.5,13.1,17.6,116.4
23,Portland Trail Blazers,82,43.3,88.2,.491,11.9,33.9,.351,31.4,54.3,.578,19.1,24.1,.792,10.8,33.9,44.6,27.6,9.1,6.6,14.6,18.2,117.5
24,Indiana Pacers,82,43.7,88.1,.496,10.5,28.8,.365,33.2,59.3,.560,20.1,25.5,.787,10.8,31.8,42.6,24.2,6.5,5.3,13.7,18.0,118.0
25,Detroit Pistons,82,43.6,88.9,.490,12.1,32.7,.370,31.5,56.2,.560,19.6,24.5,.800,9.6,33.4,43.1,27.0,8.9,6.0,12.4,17.7,118.8
26,Toronto Raptors,82,44.7,91.1,.491,13.7,36.3,.376,31.1,54.8,.567,15.6,19.8,.789,11.2,34.0,45.2,28.6,7.3,5.8,13.9,18.1,118.8
27,Atlanta Hawks,82,44.2,89.3,.495,13.9,36.1,.384,30.3,53.2,.570,17.1,21.6,.792,10.5,33.3,43.8,27.9,7.7,5.6,14.0,19.3,119.4
28,Washington Wizards,82,44.8,90.3,.496,11.9,33.0,.362,32.8,57.3,.573,18.1,23.3,.777,11.8,35.8,47.6,28.2,7.8,5.9,13.7,17.5,119.6
29,Charlotte Hornets,82,44.5,89.9,.494,14.0,37.1,.377,30.5,52.9,.577,16.9,21.2,.796,10.8,35.7,46.5,29.5,7.3,5.0,14.0,17.9,119.8
30,Utah Jazz,82,44.5,91.5,.487,14.8,37.4,.395,29.7,54.1,.550,16.6,21.5,.771,11.0,31.2,42.2,29.7,8.6,6.4,12.3,19.2,120.4
