Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Minnesota Timberwolves,82,39.9,88.8,.450,11.7,33.0,.354,28.2,55.8,.506,17.5,22.4,.781,10.5,31.9,42.4,25.1,7.7,4.6,14.5,20.3,109.0
2,Orlando Magic,82,40.9,86.2,.474,11.8,33.0,.358,29.0,53.2,.546,17.8,22.8,.780,9.1,31.8,40.9,24.5,8.3,4.7,15.4,21.4,111.3
3,Boston Celtics,82,42.4,93.6,.453,13.2,37.5,.352,29.2,56.1,.520,13.6,17.7,.768,11.3,33.0,44.3,25.4,6.4,3.8,12.3,17.6,111.6
4,Oklahoma City Thunder,82,40.4,88.9,.455,13.4,37.0,.361,27.0,51.8,.522,18.0,22.8,.789,11.7,32.7,44.5,26.8,7.1,5.1,15.6,18.8,112.1
5,Miami Heat,82,41.6,89.1,.467,13.4,38.1,.353,28.2,51.0,.553,15.5,19.9,.780,9.6,34.7,44.3,27.4,6.9,4.9,14.2,19.6,112.2
6,Cleveland Cavaliers,82,41.4,89.5,.463,12.8,34.6,.371,28.6,54.9,.521,17.0,21.5,.791,10.3,33.4,43.6,25.8,7.9,5.1,13.9,19.2,112.7
7,New Orleans Pelicans,82,41.3,89.0,.464,13.8,39.5,.349,27.5,49.5,.555,16.6,21.1,.783,10.3,32.9,43.2,27.3,6.7,5.3,14.5,18.7,112.9
8,Denver Nuggets,82,41.9,90.7,.462,11.6,32.5,.355,30.3,58.1,.522,17.7,22.9,.772,11.2,32.4,43.6,26.5,7.3,5.0,12.8,18.5,113.0
9,Houston Rockets,82,40.8,88.3,.463,12.4,35.5,.348,28.5,52.8,.540,19.3,25.2,.767,10.7,34.2,45.0,24.4,7.3,5.9,13.8,19.7,113.4
10,New York Knicks,82,42.2,89.8,.470,13.1,35.9,.365,29.1,53.8,.540,15.8,20.7,.764,10.7,31.8,42.6,26.8,7.1,5.5,13.8,20.0,113.4
11,Philadelphia 76ers,82,41.3,88.3,.468,12.2,34.4,.354,29.1,53.9,.541,19.0,24.0,.791,11.2,34.1,45.3,26.7,6.3,6.3,14.9,18.9,113.8
12,Memphis Grizzlies,82,41.8,88.1,.474,13.6,35.9,.378,28.2,52.2,.541,17.2,22.1,.779,10.8,35.4,46.2,26.9,8.3,6.6,15.3,19.0,114.3
13,Phoenix Suns,82,42.5,91.7,.464,13.3,36.4,.364,29.3,55.3,.529,16.3,21.0,.774,11.1,30.7,41.8,26.6,8.5,4.6,12.9,19.9,114.6
