Team,W,L,W/L%,NRtg,NRtg_norm
Boston Celtics,57.0,25.0,0.695,6.5,1.6291807249894121
Cleveland Cavaliers,51.0,31.0,0.622,5.5,1.3785375365295025
Philadelphia 76ers,54.0,28.0,0.659,4.4,1.1028300292236022
Memphis Grizzlies,51.0,31.0,0.622,3.9,0.9775084349936473
Milwaukee Bucks,58.0,24.0,0.707,3.5,0.8772511596096834
Denver Nuggets,53.0,29.0,0.646,3.4,0.8521868407636924
New York Knicks,47.0,35.0,0.573,3.0,0.7519295653797287
Sacramento Kings,48.0,34.0,0.585,2.6,0.6516722899957649
Phoenix Suns,45.0,37.0,0.549,2.1,0.5263506957658101
New Orleans Pelicans,42.0,40.0,0.512,1.9,0.4762220580738281
Golden State Warriors,44.0,38.0,0.537,1.7,0.4260934203818462
Toronto Raptors,41.0,41.0,0.5,1.5,0.37596478268986433
Chicago Bulls,40.0,42.0,0.488,1.3,0.32583614499788244
Oklahoma City Thunder,40.0,42.0,0.488,1.0,0.25064318845990957
Brooklyn Nets,45.0,37.0,0.549,0.9,0.2255788696139186
Los Angeles Lakers,43.0,39.0,0.524,0.6,0.15038591307594573
Los Angeles Clippers,44.0,38.0,0.537,0.5,0.12532159422995479
Atlanta Hawks,41.0,41.0,0.5,0.3,0.07519295653797287
Dallas Mavericks,38.0,44.0,0.463,0.1,0.025064318845990956
Minnesota Timberwolves,42.0,40.0,0.512,-0.1,-0.025064318845990956
Miami Heat,44.0,38.0,0.537,-0.3,-0.07519295653797287
Utah Jazz,37.0,45.0,0.451,-0.9,-0.2255788696139186
Washington Wizards,35.0,47.0,0.427,-1.2,-0.30077182615189146
Orlando Magic,34.0,48.0,0.415,-2.6,-0.6516722899957649
Indiana Pacers,35.0,47.0,0.427,-3.1,-0.7769938842257196
Portland Trail Blazers,33.0,49.0,0.402,-4.0,-1.0025727538396383
Charlotte Hornets,27.0,55.0,0.329,-6.1,-1.5289234496054482
Houston Rockets,22.0,60.0,0.268,-7.9,-1.9800811888332854
Detroit Pistons,17.0,65.0,0.207,-8.2,-2.055274145371258
San Antonio Spurs,22.0,60.0,0.268,-9.8,-2.4563032469071135
League Average,,,,,
