Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers,82,40.4,86.4,.468,11.7,31.6,.368,28.7,54.7,.525,18.1,23.2,.782,10.1,32.5,42.7,23.8,7.3,4.5,16.2,21.1,110.6
2,Memphis Grizzlies,82,40.1,88.4,.453,12.8,36.0,.355,27.3,52.4,.521,18.2,23.2,.787,10.8,32.9,43.7,26.0,6.7,5.1,14.9,19.7,111.2
3,Boston Celtics,82,41.8,90.2,.463,11.6,33.7,.345,30.1,56.5,.534,16.2,21.1,.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.5
4,Milwaukee Bucks,82,41.9,92.0,.456,11.9,33.7,.354,30.0,58.3,.514,16.1,20.7,.776,10.6,33.0,43.6,23.6,7.0,3.9,11.7,18.7,111.9
5,Chicago Bulls,82,40.9,87.4,.468,13.3,37.2,.357,27.6,50.2,.550,17.2,22.1,.779,9.7,33.8,43.5,26.1,6.7,4.8,15.1,18.8,112.2
6,New Orleans Pelicans,82,41.0,86.7,.472,12.2,36.0,.339,28.7,50.7,.567,18.4,23.6,.779,9.7,32.1,41.8,24.9,7.3,4.7,15.0,20.4,112.5
7,Phoenix Suns,82,40.5,87.0,.466,11.6,32.5,.357,28.9,54.6,.530,20.4,26.0,.786,10.4,33.1,43.4,23.7,7.3,4.0,14.6,20.1,113.0
8,Miami Heat,82,41.4,85.9,.482,13.6,36.9,.367,27.8,49.0,.569,17.0,21.8,.781,9.2,34.0,43.2,26.4,7.2,3.9,16.2,20.7,113.3
9,Philadelphia 76ers,82,41.3,87.3,.473,11.9,34.1,.348,29.4,53.2,.553,18.9,24.2,.781,9.7,32.3,42.1,24.7,6.7,4.7,14.6,20.0,113.3
10,Minnesota Timberwolves,82,41.1,87.2,.471,12.1,32.7,.369,29.0,54.5,.532,19.6,25.6,.766,11.1,32.8,43.9,24.6,8.1,4.0,15.1,19.8,113.8
11,Los Angeles Lakers,82,43.0,91.7,.469,12.3,35.6,.344,30.7,56.1,.548,15.7,20.3,.773,10.8,33.0,43.8,25.1,7.4,5.0,12.3,21.0,113.9
12,Toronto Raptors,82,41.3,84.3,.491,12.5,33.4,.374,28.8,50.9,.567,18.8,23.6,.797,9.4,33.8,43.3,26.8,6.1,4.7,17.1,20.0,114.0
13,Brooklyn Nets,82,41.6,89.8,.463,12.0,32.7,.367,29.6,57.1,.518,19.0,24.8,.767,11.7,34.1,45.8,23.7,7.1,3.9,13.9,18.8,114.1
14,Denver Nuggets,82,42.4,88.7,.478,11.6,33.6,.344,30.8,55.2,.559,17.9,23.0,.775,10.3,31.1,41.5,26.1,8.0,4.3,13.7,19.8,114.2
15,Orlando Magic,82,41.4,87.1,.476,13.0,37.0,.351,28.4,50.1,.567,18.4,23.1,.796,9.5,32.6,42.1,25.9,7.7,5.1,14.7,20.5,114.2
16,Oklahoma City Thunder,82,41.1,86.7,.474,12.7,35.3,.358,28.4,51.4,.553,19.3,25.0,.771,11.7,34.0,45.7,25.4,6.8,5.4,16.4,20.0,114.2
17,Golden State Warriors,82,41.4,88.4,.469,12.6,34.7,.364,28.8,53.7,.536,18.9,24.6,.769,10.5,31.8,42.3,25.1,7.7,3.9,14.0,18.0,114.4
18,Los Angeles Clippers,82,42.4,89.5,.474,12.4,33.8,.365,30.0,55.6,.539,17.5,22.6,.771,10.4,33.3,43.7,25.3,7.9,4.2,13.2,19.8,114.5
19,New York Knicks,82,41.4,89.5,.462,13.2,37.1,.357,28.2,52.5,.537,18.8,24.1,.782,10.3,32.4,42.7,25.5,6.1,4.6,12.9,21.0,114.8
20,Charlotte Hornets,82,42.3,88.7,.477,12.0,33.7,.357,30.2,55.0,.550,18.7,23.6,.795,10.7,34.7,45.5,25.5,6.9,5.7,14.1,20.0,115.3
21,Washington Wizards,82,42.9,90.8,.473,12.1,33.1,.366,30.8,57.6,.534,17.7,22.1,.798,10.9,32.6,43.5,25.1,7.2,5.0,12.4,19.6,115.6
22,Atlanta Hawks,82,43.1,88.8,.486,11.8,33.0,.356,31.4,55.8,.562,18.3,22.8,.803,10.4,33.0,43.4,25.6,7.4,5.0,13.9,19.4,116.3
23,Dallas Mavericks,82,42.7,88.1,.485,11.4,32.4,.352,31.3,55.7,.562,19.9,25.5,.781,10.4,35.4,45.7,25.5,6.5,3.9,13.4,22.3,116.7
24,Utah Jazz,82,42.9,90.6,.473,12.3,34.1,.361,30.5,56.5,.540,18.6,24.0,.776,11.1,31.9,43.0,24.7,7.7,4.9,12.4,20.2,116.7
25,Sacramento Kings,82,43.3,87.9,.492,12.3,33.1,.373,31.0,54.9,.564,17.9,22.7,.787,9.6,32.2,41.7,26.4,7.2,4.1,14.1,20.6,116.8
26,Indiana Pacers,82,42.6,88.0,.485,12.2,32.8,.373,30.4,55.2,.551,20.2,25.2,.800,11.9,32.7,44.6,26.0,7.8,5.3,14.8,19.9,117.7
27,Portland Trail Blazers,82,43.5,88.6,.491,12.7,33.5,.379,30.8,55.0,.559,19.2,24.4,.787,10.6,33.2,43.7,27.3,7.9,4.3,13.7,20.7,118.8
28,Detroit Pistons,82,43.2,88.4,.489,12.0,33.4,.360,31.2,54.9,.568,20.4,26.3,.777,11.0,33.9,44.9,25.8,7.7,5.5,13.6,21.0,118.9
29,Houston Rockets,82,42.7,88.7,.482,14.6,39.1,.374,28.1,49.6,.567,19.3,24.4,.794,10.6,31.2,41.8,26.3,8.8,6.2,13.2,20.8,119.3
30,San Antonio Spurs,82,45.0,88.7,.507,12.3,31.5,.391,32.6,57.2,.571,17.8,23.1,.770,10.4,33.4,43.9,26.1,7.9,5.1,13.5,18.0,120.0
