Team,W,L,W/L%,SRS_norm
Milwaukee Bucks,58,24,0.707,0.9329554181426405
Boston Celtics,57,25,0.695,1.6488242569944729
Philadelphia 76ers,54,28,0.659,1.1293670851200386
Cleveland Cavaliers,51,31,0.622,1.3516223924891997
New York Knicks,47,35,0.573,0.7727248477137106
Brooklyn Nets,45,37,0.549,0.26618949603515785
Miami Heat,44,38,0.537,-0.033596732509291766
Atlanta Hawks,41,41,0.5,0.08269964925364127
Toronto Raptors,41,41,0.5,0.4109138822290301
Chicago Bulls,40,42,0.488,0.3540578733671517
Indiana Pacers,35,47,0.427,-0.7520499354003003
Washington Wizards,35,47,0.427,-0.27394258815268674
Orlando Magic,34,48,0.415,-0.6176630053631332
Charlotte Hornets,27,55,0.329,-1.5221904190748345
Detroit Pistons,17,65,0.207,-1.997713402283272
Denver Nuggets,53,29,0.646,0.785646667909592
Memphis Grizzlies,51,31,0.622,0.9303710541034643
Sacramento Kings,48,34,0.585,0.5944037290105466
Phoenix Suns,45,37,0.549,0.5375477201486683
Los Angeles Clippers,44,38,0.537,0.08011528521446498
Golden State Warriors,44,38,0.537,0.4290044305032641
Los Angeles Lakers,43,39,0.524,0.11112765368458045
Minnesota Timberwolves,42,40,0.512,-0.056856008861878374
New Orleans Pelicans,42,40,0.512,0.4212513383857352
Oklahoma City Thunder,40,42,0.488,0.2480989477609238
Dallas Mavericks,38,44,0.463,-0.03618109654846806
Utah Jazz,37,45,0.451,-0.26618949603515785
Portland Trail Blazers,33,49,0.402,-1.0234081595138107
Houston Rockets,22,60,0.268,-1.9692853978523328
San Antonio Spurs,22,60,0.268,-2.5378454864711166
