Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Boston Celtics,1.262694,57.0,25.0,0.695,1.629180724989412,1.6488242569944729
Cleveland Cavaliers,1.00029,51.0,31.0,0.622,1.3785375365295025,1.3516223924891997
Philadelphia 76ers,0.870949,54.0,28.0,0.659,1.1028300292236022,1.1293670851200386
Memphis Grizzlies,0.86561,51.0,31.0,0.622,0.9775084349936471,0.9303710541034644
Milwaukee Bucks,0.922067,58.0,24.0,0.707,0.8772511596096834,0.9329554181426404
Denver Nuggets,0.546187,53.0,29.0,0.646,0.8521868407636924,0.785646667909592
New York Knicks,0.79785,47.0,35.0,0.573,0.7519295653797287,0.7727248477137106
Sacramento Kings,0.505869,48.0,34.0,0.585,0.6516722899957649,0.5944037290105466
Phoenix Suns,0.196066,45.0,37.0,0.549,0.5263506957658101,0.5375477201486683
New Orleans Pelicans,0.405742,42.0,40.0,0.512,0.4762220580738281,0.4212513383857352
Golden State Warriors,-0.021374,44.0,38.0,0.537,0.4260934203818462,0.4290044305032641
Toronto Raptors,0.147116,41.0,41.0,0.5,0.3759647826898643,0.4109138822290301
Chicago Bulls,0.45298,40.0,42.0,0.488,0.3258361449978824,0.3540578733671517
Oklahoma City Thunder,-0.109915,40.0,42.0,0.488,0.2506431884599095,0.2480989477609238
Brooklyn Nets,0.053679,45.0,37.0,0.549,0.2255788696139186,0.2661894960351578
Los Angeles Lakers,0.462326,43.0,39.0,0.524,0.1503859130759457,0.1111276536845804
Los Angeles Clippers,0.14475,44.0,38.0,0.537,0.1253215942299547,0.0801152852144649
Atlanta Hawks,0.056725,41.0,41.0,0.5,0.0751929565379728,0.0826996492536412
Dallas Mavericks,-0.018334,38.0,44.0,0.463,0.0250643188459909,-0.036181096548468
Minnesota Timberwolves,-0.246812,42.0,40.0,0.512,-0.0250643188459909,-0.0568560088618783
Miami Heat,-0.013705,44.0,38.0,0.537,-0.0751929565379728,-0.0335967325092917
Utah Jazz,-0.253953,37.0,45.0,0.451,-0.2255788696139186,-0.2661894960351578
Washington Wizards,-0.115921,35.0,47.0,0.427,-0.3007718261518914,-0.2739425881526867
Orlando Magic,-0.241213,34.0,48.0,0.415,-0.6516722899957649,-0.6176630053631332
Indiana Pacers,-1.053917,35.0,47.0,0.427,-0.7769938842257196,-0.7520499354003003
Portland Trail Blazers,-0.877471,33.0,49.0,0.402,-1.0025727538396385,-1.0234081595138107
Charlotte Hornets,-0.811411,27.0,55.0,0.329,-1.5289234496054482,-1.5221904190748343
Houston Rockets,-1.423197,22.0,60.0,0.268,-1.9800811888332852,-1.9692853978523328
Detroit Pistons,-1.56345,17.0,65.0,0.207,-2.055274145371258,-1.997713402283272
San Antonio Spurs,-1.940228,22.0,60.0,0.268,-2.456303246907113,-2.5378454864711166
