Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Milwaukee Bucks,58,24,.707,0.0,116.9,113.3,3.61
Boston Celtics,57,25,.695,0.5,117.9,111.4,6.38
Philadelphia 76ers,54,28,.659,2.0,115.2,110.9,4.37
Cleveland Cavaliers,51,31,.622,3.5,112.3,106.9,5.23
New York Knicks,47,35,.573,5.5,116.0,113.1,2.99
Brooklyn Nets,45,37,.549,6.5,113.4,112.5,1.03
Miami Heat,44,38,.537,7.0,109.5,109.8,-0.13
Atlanta Hawks,41,41,.500,8.5,118.4,118.1,0.32
Toronto Raptors,41,41,.500,8.5,112.9,111.4,1.59
Chicago Bulls,40,42,.488,9.0,113.1,111.8,1.37
Indiana Pacers,35,47,.427,11.5,116.3,119.5,-2.91
Washington Wizards,35,47,.427,11.5,113.2,114.4,-1.06
Orlando Magic,34,48,.415,12.0,111.4,114.0,-2.39
Charlotte Hornets,27,55,.329,15.5,111.0,117.2,-5.89
Detroit Pistons,17,65,.207,20.5,110.3,118.5,-7.73
Denver Nuggets,53,29,.646,2.5,115.8,112.5,3.04
Memphis Grizzlies,51,31,.622,3.5,116.9,113.0,3.60
Sacramento Kings,48,34,.585,5.0,120.7,118.1,2.30
Phoenix Suns,45,37,.549,6.5,113.6,111.6,2.08
Los Angeles Clippers,44,38,.537,7.0,113.6,113.1,0.31
Golden State Warriors,44,38,.537,7.0,118.9,117.1,1.66
Los Angeles Lakers,43,39,.524,7.5,117.2,116.6,0.43
Minnesota Timberwolves,42,40,.512,8.0,115.8,115.8,-0.22
New Orleans Pelicans,42,40,.512,8.0,114.4,112.5,1.63
Oklahoma City Thunder,40,42,.488,9.0,117.5,116.4,0.96
Dallas Mavericks,38,44,.463,10.0,114.2,114.1,-0.14
Utah Jazz,37,45,.451,10.5,117.1,118.0,-1.03
Portland Trail Blazers,33,49,.402,12.5,113.4,117.4,-3.96
Houston Rockets,22,60,.268,18.0,110.7,118.6,-7.62
San Antonio Spurs,22,60,.268,18.0,113.0,123.1,-9.82
