Team,W,L,W/L%,NRtg,NRtg_norm
Golden State Warriors,67.0,15.0,0.817,10.2,1.9962230580978235
Los Angeles Clippers,56.0,26.0,0.683,6.9,1.3503861863602926
San Antonio Spurs,55.0,27.0,0.671,6.5,1.2721029291799857
Atlanta Hawks,60.0,22.0,0.732,5.8,1.1351072291144486
Cleveland Cavaliers,53.0,29.0,0.646,4.8,0.9393990861636817
Portland Trail Blazers,51.0,31.0,0.622,4.5,0.8806866432784516
Houston Rockets,56.0,26.0,0.683,3.6,0.7045493146227613
Memphis Grizzlies,55.0,27.0,0.671,3.5,0.6849785003276846
Toronto Raptors,49.0,33.0,0.598,3.3,0.6458368717375311
Chicago Bulls,50.0,32.0,0.61,3.2,0.6262660574424546
Dallas Mavericks,50.0,32.0,0.61,3.1,0.6066952431473778
Oklahoma City Thunder,45.0,37.0,0.549,2.3,0.45012872878676413
New Orleans Pelicans,45.0,37.0,0.549,0.9,0.17613732865569032
Washington Wizards,46.0,36.0,0.561,0.7,0.1369957000655369
Milwaukee Bucks,41.0,41.0,0.5,0.5,0.09785407147538351
Indiana Pacers,38.0,44.0,0.463,0.3,0.05871244288523011
Utah Jazz,38.0,44.0,0.463,0.2,0.03914162859015341
Boston Celtics,40.0,42.0,0.488,0.2,0.03914162859015341
Phoenix Suns,39.0,43.0,0.476,-0.9,-0.17613732865569032
Detroit Pistons,32.0,50.0,0.39,-1.1,-0.21527895724584376
Miami Heat,37.0,45.0,0.451,-2.8,-0.5479828002621476
Brooklyn Nets,38.0,44.0,0.463,-3.0,-0.5871244288523011
Charlotte Hornets,33.0,49.0,0.402,-3.4,-0.6654076860326079
Denver Nuggets,30.0,52.0,0.366,-3.7,-0.7241201289178381
Sacramento Kings,29.0,53.0,0.354,-3.9,-0.7632617575079914
Orlando Magic,25.0,57.0,0.305,-6.1,-1.1938196719996788
Los Angeles Lakers,21.0,61.0,0.256,-7.2,-1.4090986292455225
Minnesota Timberwolves,16.0,66.0,0.195,-9.3,-1.8200857294421335
Philadelphia 76ers,18.0,64.0,0.22,-9.3,-1.8200857294421335
New York Knicks,17.0,65.0,0.207,-10.1,-1.976652243802747
League Average,,,,,
