Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Golden State Warriors,1.448747,67.0,15.0,0.817,1.9962230580978235,2.0912376005271827
Los Angeles Clippers,0.852664,56.0,26.0,0.683,1.3503861863602926,1.4206209474110731
San Antonio Spurs,0.9775,55.0,27.0,0.671,1.2721029291799857,1.3245201186156184
Atlanta Hawks,0.599295,60.0,22.0,0.732,1.1351072291144486,0.9923455147356762
Cleveland Cavaliers,0.606213,53.0,29.0,0.646,0.9393990861636816,0.852372568446644
Portland Trail Blazers,0.602496,51.0,31.0,0.622,0.8806866432784516,0.9213144673651226
Houston Rockets,0.550426,56.0,26.0,0.683,0.7045493146227613,0.7980547086926911
Memphis Grizzlies,0.633244,55.0,27.0,0.671,0.6849785003276846,0.756271739651189
Toronto Raptors,0.291254,49.0,33.0,0.598,0.6458368717375311,0.5118413707584014
Chicago Bulls,0.73041,50.0,32.0,0.61,0.6262660574424546,0.5306437068270774
Dallas Mavericks,0.27128,50.0,32.0,0.61,0.6066952431473778,0.7019538798972361
Oklahoma City Thunder,0.44613,45.0,37.0,0.549,0.4501287287867641,0.5160196676625517
New Orleans Pelicans,0.208491,45.0,37.0,0.549,0.1761373286556903,0.2360737750844871
Washington Wizards,0.363724,46.0,36.0,0.561,0.1369957000655369,0.0355155236852768
Milwaukee Bucks,0.033439,41.0,41.0,0.5,0.0978540714753835,-0.0188023360686759
Indiana Pacers,0.131599,38.0,44.0,0.463,0.0587124428852301,-0.0480504143977274
Utah Jazz,0.408778,38.0,44.0,0.463,0.0391416285901534,0.1483295400973326
Boston Celtics,-0.071274,40.0,42.0,0.488,0.0391416285901534,-0.0835659380830043
Phoenix Suns,-0.316477,39.0,43.0,0.476,-0.1761373286556903,-0.0793876411788541
Detroit Pistons,0.013595,32.0,50.0,0.39,-0.2152789572458437,-0.2903916348384399
Miami Heat,-0.528208,37.0,45.0,0.451,-0.5479828002621476,-0.6100313480059314
Brooklyn Nets,-0.518001,38.0,44.0,0.463,-0.5871244288523011,-0.6539034654995087
Charlotte Hornets,-0.044892,33.0,49.0,0.402,-0.6654076860326079,-0.718667067513837
Denver Nuggets,-0.644621,30.0,52.0,0.366,-0.7241201289178381,-0.641368574787058
Sacramento Kings,-0.360105,29.0,53.0,0.354,-0.7632617575079914,-0.641368574787058
Orlando Magic,-1.001462,25.0,57.0,0.305,-1.1938196719996788,-1.2263301413680885
Los Angeles Lakers,-1.089238,21.0,61.0,0.256,-1.4090986292455223,-1.2890045949303417
Minnesota Timberwolves,-1.470508,16.0,66.0,0.195,-1.820085729442133,-1.6713187616600862
Philadelphia 76ers,-1.341552,18.0,64.0,0.22,-1.820085729442133,-1.8885902006758968
New York Knicks,-1.782943,17.0,65.0,0.207,-1.976652243802747,-1.9846910294713525
