Team,W,L,W/L%,SRS_norm
Toronto Raptors,49,33,0.598,0.5118413707584014
Boston Celtics,40,42,0.488,-0.08356593808300432
Brooklyn Nets,38,44,0.463,-0.6539034654995087
Philadelphia 76ers,18,64,0.22,-1.8885902006758972
New York Knicks,17,65,0.207,-1.9846910294713525
Cleveland Cavaliers,53,29,0.646,0.852372568446644
Chicago Bulls,50,32,0.61,0.5306437068270774
Milwaukee Bucks,41,41,0.5,-0.01880233606867597
Indiana Pacers,38,44,0.463,-0.04805041439772748
Detroit Pistons,32,50,0.39,-0.29039163483843994
Atlanta Hawks,60,22,0.732,0.9923455147356762
Washington Wizards,46,36,0.561,0.035515523685276836
Miami Heat,37,45,0.451,-0.6100313480059314
Charlotte Hornets,33,49,0.402,-0.718667067513837
Orlando Magic,25,57,0.305,-1.2263301413680883
Portland Trail Blazers,51,31,0.622,0.9213144673651226
Oklahoma City Thunder,45,37,0.549,0.5160196676625517
Utah Jazz,38,44,0.463,0.14832954009733265
Denver Nuggets,30,52,0.366,-0.641368574787058
Minnesota Timberwolves,16,66,0.195,-1.6713187616600862
Golden State Warriors,67,15,0.817,2.0912376005271827
Los Angeles Clippers,56,26,0.683,1.4206209474110731
Phoenix Suns,39,43,0.476,-0.0793876411788541
Sacramento Kings,29,53,0.354,-0.641368574787058
Los Angeles Lakers,21,61,0.256,-1.2890045949303415
Houston Rockets,56,26,0.683,0.7980547086926911
Memphis Grizzlies,55,27,0.671,0.756271739651189
San Antonio Spurs,55,27,0.671,1.3245201186156184
Dallas Mavericks,50,32,0.61,0.7019538798972361
New Orleans Pelicans,45,37,0.549,0.23607377508448715
