Team,W,L,W/L%,SRS_norm
New Jersey Nets,49,33,0.598,0.2983134604417696
Philadelphia 76ers,38,44,0.463,-0.5643768170519965
Boston Celtics,33,49,0.402,-0.4273138757679402
Toronto Raptors,27,55,0.329,-0.814315121746452
New York Knicks,23,59,0.28,-1.6931304511559895
Detroit Pistons,64,18,0.78,1.677005399240218
Cleveland Cavaliers,50,32,0.61,0.5831893776203964
Indiana Pacers,41,41,0.5,0.43537640172582587
Chicago Bulls,41,41,0.5,0.1370629412840563
Milwaukee Bucks,40,42,0.488,-0.2875634258312554
Miami Heat,52,30,0.634,0.964815606293651
Washington Wizards,42,40,0.512,0.4219388584626831
Orlando Magic,36,46,0.439,-0.3386260902311979
Charlotte Bobcats,26,56,0.317,-1.0481283745251362
Atlanta Hawks,26,56,0.317,-1.2604415580827921
Denver Nuggets,44,38,0.537,0.09675031149462797
Utah Jazz,41,41,0.5,-0.6691896545045102
Seattle SuperSonics,35,47,0.427,-0.7740024919570238
Minnesota Timberwolves,33,49,0.402,-0.4703140142099971
Portland Trail Blazers,21,61,0.256,-2.3945702094920422
Phoenix Suns,54,28,0.659,1.472754741640448
Los Angeles Clippers,47,35,0.573,0.4703140142099971
Los Angeles Lakers,45,37,0.549,0.6799396891150242
Sacramento Kings,44,38,0.537,0.4326888930731973
Golden State Warriors,34,48,0.415,-0.2983134604417696
San Antonio Spurs,63,19,0.768,1.7979432886085032
Dallas Mavericks,60,22,0.732,1.6017551569666186
Memphis Grizzlies,49,33,0.598,1.0051282360830796
New Orleans/Oklahoma City Hornets,38,44,0.463,-0.6745646718097672
Houston Rockets,34,48,0.415,-0.3493761248417121
