Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
San Antonio Spurs,1.253191,63.0,19.0,0.768,1.7976767258775426,1.7979432886085032
Detroit Pistons,1.195761,64.0,18.0,0.78,1.7976767258775426,1.677005399240218
Dallas Mavericks,1.075483,60.0,22.0,0.732,1.587558667008739,1.6017551569666186
Phoenix Suns,0.750201,54.0,28.0,0.659,1.33074770616909,1.472754741640448
Memphis Grizzlies,0.690825,49.0,33.0,0.598,1.003897392373173,1.0051282360830796
Miami Heat,0.871898,52.0,30.0,0.634,0.9805509413877506,0.964815606293651
Los Angeles Lakers,0.506059,45.0,37.0,0.549,0.6303541766064111,0.6799396891150242
Cleveland Cavaliers,0.47952,50.0,32.0,0.61,0.5603148236501432,0.5831893776203964
Indiana Pacers,0.120573,41.0,41.0,0.5,0.4902754706938753,0.4353764017258258
Washington Wizards,0.337761,42.0,40.0,0.512,0.4669290197084526,0.4219388584626831
Sacramento Kings,0.139306,44.0,38.0,0.537,0.3968896667521847,0.4326888930731973
Los Angeles Clippers,0.157799,47.0,35.0,0.573,0.3968896667521847,0.4703140142099971
New Jersey Nets,0.240402,49.0,33.0,0.598,0.3501967647813395,0.2983134604417696
Chicago Bulls,0.175915,41.0,41.0,0.5,0.1400787059125358,0.1370629412840563
Denver Nuggets,0.25031,44.0,38.0,0.537,0.0700393529562679,0.0967503114946279
Milwaukee Bucks,-0.184262,40.0,42.0,0.488,-0.2568109608396489,-0.2875634258312554
Orlando Magic,-0.173655,36.0,46.0,0.439,-0.2801574118250716,-0.3386260902311979
Golden State Warriors,-0.228961,34.0,48.0,0.415,-0.3268503137959168,-0.2983134604417696
Houston Rockets,-0.408093,34.0,48.0,0.415,-0.3968896667521847,-0.3493761248417121
Boston Celtics,-0.332081,33.0,49.0,0.402,-0.3968896667521847,-0.4273138757679402
Minnesota Timberwolves,-0.492445,33.0,49.0,0.402,-0.4902754706938753,-0.4703140142099971
Philadelphia 76ers,-0.12382,38.0,44.0,0.463,-0.4902754706938753,-0.5643768170519965
Utah Jazz,-0.430549,41.0,41.0,0.5,-0.6770470785772563,-0.6691896545045102
New Orleans/Oklahoma City Hornets,-0.431535,38.0,44.0,0.463,-0.7237399805481016,-0.6745646718097672
Toronto Raptors,-0.524951,27.0,55.0,0.329,-0.7470864315335243,-0.814315121746452
Seattle SuperSonics,-0.643592,35.0,47.0,0.427,-0.7704328825189468,-0.7740024919570238
Charlotte Bobcats,-0.55696,26.0,56.0,0.317,-0.9805509413877506,-1.0481283745251362
Atlanta Hawks,-0.795475,26.0,56.0,0.317,-1.214015451241977,-1.260441558082792
New York Knicks,-1.055195,23.0,59.0,0.28,-1.6342515689795842,-1.6931304511559897
Portland Trail Blazers,-1.86343,21.0,61.0,0.256,-2.5214167064256445,-2.3945702094920422
