Team,W,L,W/L%,NRtg,NRtg_norm
San Antonio Spurs,63.0,19.0,0.768,7.7,1.7976767258775426
Detroit Pistons,64.0,18.0,0.78,7.7,1.7976767258775426
Dallas Mavericks,60.0,22.0,0.732,6.8,1.587558667008739
Phoenix Suns,54.0,28.0,0.659,5.7,1.33074770616909
Memphis Grizzlies,49.0,33.0,0.598,4.3,1.003897392373173
Miami Heat,52.0,30.0,0.634,4.2,0.9805509413877506
Los Angeles Lakers,45.0,37.0,0.549,2.7,0.6303541766064111
Cleveland Cavaliers,50.0,32.0,0.61,2.4,0.5603148236501432
Indiana Pacers,41.0,41.0,0.5,2.1,0.4902754706938753
Washington Wizards,42.0,40.0,0.512,2.0,0.46692901970845263
Sacramento Kings,44.0,38.0,0.537,1.7,0.39688966675218473
Los Angeles Clippers,47.0,35.0,0.573,1.7,0.39688966675218473
New Jersey Nets,49.0,33.0,0.598,1.5,0.3501967647813395
Chicago Bulls,41.0,41.0,0.5,0.6,0.1400787059125358
Denver Nuggets,44.0,38.0,0.537,0.3,0.0700393529562679
Milwaukee Bucks,40.0,42.0,0.488,-1.1,-0.25681096083964894
Orlando Magic,36.0,46.0,0.439,-1.2,-0.2801574118250716
Golden State Warriors,34.0,48.0,0.415,-1.4,-0.32685031379591684
Houston Rockets,34.0,48.0,0.415,-1.7,-0.39688966675218473
Boston Celtics,33.0,49.0,0.402,-1.7,-0.39688966675218473
Minnesota Timberwolves,33.0,49.0,0.402,-2.1,-0.4902754706938753
Philadelphia 76ers,38.0,44.0,0.463,-2.1,-0.4902754706938753
Utah Jazz,41.0,41.0,0.5,-2.9,-0.6770470785772563
New Orleans/Oklahoma City Hornets,38.0,44.0,0.463,-3.1,-0.7237399805481016
Toronto Raptors,27.0,55.0,0.329,-3.2,-0.7470864315335243
Seattle SuperSonics,35.0,47.0,0.427,-3.3,-0.7704328825189468
Charlotte Bobcats,26.0,56.0,0.317,-4.2,-0.9805509413877506
Atlanta Hawks,26.0,56.0,0.317,-5.2,-1.214015451241977
New York Knicks,23.0,59.0,0.28,-7.0,-1.6342515689795842
Portland Trail Blazers,21.0,61.0,0.256,-10.8,-2.5214167064256445
League Average,,,,,
