Rk,Team,G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks,22,45.1,90.4,.499,15.0,37.3,.401,30.1,53.0,.568,17.0,20.4,.836,9.7,34.3,44.0,28.9,7.3,4.3,13.2,18.4,122.2
2,Boston Celtics,23,42.1,91.4,.460,19.3,51.6,.373,22.8,39.8,.573,18.0,22.2,.812,10.4,33.8,44.2,26.0,7.5,5.6,11.9,17.0,121.4
3,Cleveland Cavaliers,23,44.9,88.3,.509,15.5,38.2,.405,29.5,50.2,.588,15.8,20.4,.775,8.9,34.0,42.9,28.0,9.1,4.8,13.3,18.4,121.1
4,Dallas Mavericks,23,43.9,89.9,.488,13.1,35.1,.374,30.7,54.8,.561,18.0,23.4,.768,11.6,34.1,45.7,25.9,8.2,5.6,14.0,20.5,118.8
5,Memphis Grizzlies,23,42.8,87.9,.487,12.5,35.8,.348,30.3,52.2,.582,18.1,23.4,.777,11.7,33.9,45.6,29.1,8.3,6.6,16.4,20.6,116.2
6,Denver Nuggets,20,42.7,87.8,.486,11.8,30.5,.387,30.9,57.3,.538,18.8,24.8,.760,10.9,32.8,43.7,29.6,8.6,4.7,14.0,17.8,116.0
7,Oklahoma City Thunder,22,43.1,93.1,.463,13.8,40.0,.346,29.2,53.1,.551,15.8,19.6,.805,10.4,33.0,43.4,25.9,12.1,6.6,11.3,21.0,115.7
8,Sacramento Kings,24,42.6,88.3,.482,11.7,34.5,.338,30.9,53.8,.575,18.5,23.3,.797,9.9,33.3,43.2,25.3,8.1,4.8,13.8,20.4,115.4
9,Chicago Bulls,24,41.9,87.2,.481,15.9,41.2,.386,26.0,45.9,.566,15.0,19.0,.792,8.7,34.0,42.6,28.1,6.8,4.5,14.8,17.6,114.8
10,Phoenix Suns,21,40.7,86.7,.469,15.2,40.5,.375,25.5,46.2,.552,18.4,23.5,.780,9.3,34.9,44.2,27.2,7.8,5.0,14.2,18.3,114.8
11,Milwaukee Bucks,22,41.5,86.5,.479,14.6,37.4,.390,26.9,49.1,.547,16.7,22.9,.728,8.6,35.3,43.9,23.9,7.2,5.6,14.0,18.8,114.3
12,Los Angeles Lakers,23,41.6,87.5,.475,11.8,33.7,.350,29.8,53.8,.553,19.0,24.2,.783,9.2,31.7,40.8,27.2,7.7,4.7,13.2,16.4,113.9
13,Miami Heat,20,40.4,90.3,.447,15.4,40.5,.380,25.0,49.8,.502,17.6,22.7,.775,10.5,33.9,44.4,26.8,9.5,3.7,13.1,16.6,113.7
