Team,Four-Factor Score,W,L,W/L%,NRtg_norm,SRS_norm
Oklahoma City Thunder,1.10053,17.0,5.0,0.773,1.7289028556210886,1.915235453628788
Cleveland Cavaliers,1.174737,20.0,3.0,0.87,1.5127899986684523,1.329665154461878
Boston Celtics,1.245236,19.0,4.0,0.826,1.469567427277925,1.4251034076410154
New York Knicks,0.768138,14.0,8.0,0.636,1.1237868561537077,0.9915872745561208
Dallas Mavericks,0.851788,15.0,8.0,0.652,1.0949718085600229,1.1274654655230278
Memphis Grizzlies,0.846785,15.0,8.0,0.652,1.0949718085600229,0.9058546064460482
Houston Rockets,1.050803,15.0,8.0,0.652,0.9797116181852836,1.1727581958453304
Golden State Warriors,0.679875,13.0,9.0,0.591,0.6915611422484355,0.8540914860777027
Orlando Magic,0.75491,16.0,9.0,0.64,0.6483385708579082,0.4270457430388513
Minnesota Timberwolves,0.549826,12.0,10.0,0.545,0.5907084756705385,0.5952758842359747
Miami Heat,0.344106,10.0,10.0,0.5,0.3313730473273753,0.169847738708634
Los Angeles Clippers,0.310218,14.0,10.0,0.583,0.2737429521400057,0.4545449007345349
Sacramento Kings,0.361024,11.0,13.0,0.458,0.216112856952636,0.1633773486625908
Denver Nuggets,0.425111,11.0,9.0,0.55,0.144075237968424,0.4901320459877725
Milwaukee Bucks,0.253764,11.0,11.0,0.5,0.1152601903747392,0.137495788478418
Phoenix Suns,0.206778,12.0,9.0,0.571,-0.0432225713905272,0.0016175975115108
Atlanta Hawks,-0.165874,13.0,11.0,0.542,-0.2305203807494785,-0.4739560708726645
San Antonio Spurs,-0.061339,11.0,12.0,0.478,-0.3025579997336905,-0.2151404690309364
Detroit Pistons,-0.354949,9.0,15.0,0.375,-0.4322257139052721,-0.5693943240518018
Chicago Bulls,-0.56623,10.0,14.0,0.417,-0.5042633328894842,-0.4205753529928081
Brooklyn Nets,-0.694402,10.0,13.0,0.435,-0.5474859042800114,-0.3882234027625921
Indiana Pacers,-0.669545,10.0,14.0,0.417,-0.605115999467381,-0.8395331084741056
Los Angeles Lakers,-0.325357,12.0,11.0,0.522,-0.6195235232642234,-0.6761557598115145
Toronto Raptors,-0.6378,7.0,16.0,0.304,-0.677153618451593,-0.6907141374151118
Philadelphia 76ers,-0.592364,6.0,15.0,0.286,-0.8068213326231747,-0.7683588179676303
Charlotte Hornets,-0.893553,6.0,16.0,0.273,-0.8068213326231747,-0.7214484901338171
Utah Jazz,-0.922487,5.0,17.0,0.227,-1.1526019037473925,-1.0142336397172718
Portland Trail Blazers,-1.414028,8.0,15.0,0.348,-1.383122284496871,-1.3426059345539645
New Orleans Pelicans,-1.398373,5.0,18.0,0.217,-1.772125427011616,-1.8570019432143992
Washington Wizards,-2.22733,2.0,18.0,0.1,-2.3772414264789967,-2.3115468439489337
