Team,W,L,W/L%,GB,PS/G,PA/G,SRS
Cleveland Cavaliers,20,3,.870,0.0,122.0,111.4,8.22
Boston Celtics,19,4,.826,0.5,120.1,110.0,8.81
Orlando Magic,16,9,.640,2.0,107.3,103.0,2.64
New York Knicks,14,8,.636,3.0,118.3,110.7,6.13
Atlanta Hawks,13,11,.542,3.5,117.3,119.0,-2.93
Milwaukee Bucks,11,11,.500,4.5,113.2,112.4,0.85
Miami Heat,10,10,.500,5.0,111.3,109.0,1.05
Brooklyn Nets,10,13,.435,5.0,110.0,113.7,-2.40
Indiana Pacers,10,14,.417,5.0,114.2,118.4,-5.19
Chicago Bulls,10,14,.417,5.0,119.9,123.6,-2.60
Detroit Pistons,9,15,.375,5.5,110.1,113.1,-3.52
Toronto Raptors,7,16,.304,6.5,112.3,117.0,-4.27
Philadelphia 76ers,6,15,.286,7.0,105.0,110.6,-4.75
Charlotte Hornets,6,16,.273,7.0,107.0,112.6,-4.46
Washington Wizards,2,18,.100,9.0,106.7,123.6,-14.29
Oklahoma City Thunder,17,5,.773,1.5,115.5,103.5,11.84
Houston Rockets,15,8,.652,2.5,113.5,106.6,7.25
Dallas Mavericks,15,8,.652,2.5,118.9,111.2,6.97
Memphis Grizzlies,15,8,.652,2.5,121.1,113.1,5.60
Golden State Warriors,13,9,.591,3.5,114.1,109.3,5.28
Los Angeles Clippers,14,10,.583,3.0,108.8,107.0,2.81
Phoenix Suns,12,9,.571,4.0,113.2,113.5,0.01
Denver Nuggets,11,9,.550,4.5,117.9,116.8,3.03
Minnesota Timberwolves,12,10,.545,4.0,110.7,106.6,3.68
Los Angeles Lakers,12,11,.522,4.0,112.3,116.5,-4.18
San Antonio Spurs,11,12,.478,4.5,111.0,113.0,-1.33
Sacramento Kings,11,13,.458,4.5,115.4,113.9,1.01
Portland Trail Blazers,8,15,.348,6.0,106.8,116.4,-8.30
Utah Jazz,5,17,.227,7.5,109.7,117.7,-6.27
New Orleans Pelicans,5,18,.217,7.5,104.3,116.4,-11.48
