Team,W,L,W/L%,Off eFG%,Off TOV%,ORB%,Off FT/FGA%,Def eFG%,Def TOV%,DRB%,Def FT/FGA%,Offensive Score,Defensive Score,Four-Factor Score
Oklahoma City Thunder,17.0,5.0,0.772727,-0.119792,-2.253548,-0.664774,-1.556456,-2.244111,2.501132,-1.990856,1.155158,0.149047,0.951483,1.10053
Cleveland Cavaliers,20.0,3.0,0.869565,2.236117,-0.78862,-1.020325,-0.948466,-0.416092,0.555807,0.308342,-0.41609,0.745267,0.42947,1.174737
Boston Celtics,19.0,4.0,0.826087,0.998267,-1.887316,-0.438514,0.145918,-0.363863,-0.555807,1.003448,-1.55088,0.805321,0.439915,1.245236
New York Knicks,14.0,8.0,0.636364,1.677088,-1.008359,-0.276899,-0.340475,0.262887,-0.972662,1.056918,-0.590673,0.816474,-0.048336,0.768138
Dallas Mavericks,15.0,8.0,0.652174,0.838544,-0.568881,0.692787,0.328315,-1.147299,-0.416855,-0.761052,0.10766,0.665442,0.186346,0.851788
Memphis Grizzlies,15.0,8.0,0.652174,0.718752,0.896048,1.016015,0.693109,-1.356216,0.277904,-0.172885,0.675055,0.370658,0.476127,0.846785
Houston Rockets,15.0,8.0,0.652174,-1.597227,-1.447838,1.63015,0.085119,-2.139653,0.138952,0.7361,0.325888,0.061867,0.988936,1.050803
Golden State Warriors,13.0,9.0,0.590909,-0.199653,-0.495634,0.854401,-1.617255,-1.72182,0.069476,0.415282,0.544117,-0.027661,0.707536,0.679875
Orlando Magic,16.0,9.0,0.64,-0.758683,0.456569,0.078652,1.605096,-0.52055,1.736897,1.645085,0.369534,-0.161121,0.916031,0.75491
Minnesota Timberwolves,12.0,10.0,0.545455,0.559029,1.189034,-0.664774,0.02432,-0.781696,0.833711,0.68263,-0.634319,-0.202954,0.75278,0.549826
Miami Heat,10.0,10.0,0.5,-0.319445,-1.154852,-0.535482,0.02432,-0.050488,0.625283,-0.547174,-1.463588,0.057487,0.286619,0.344106
Los Angeles Clippers,14.0,10.0,0.583333,-0.119792,1.408773,0.595818,-0.036479,-0.154946,0.625283,1.645085,-0.328798,-0.286418,0.596636,0.310218
Sacramento Kings,11.0,13.0,0.458333,0.319445,-0.568881,-0.309222,0.936306,0.419574,0.277904,0.896509,0.456826,0.3486,0.012424,0.361024
Denver Nuggets,11.0,9.0,0.55,0.519099,-0.495634,0.240267,1.240301,0.367345,-0.138952,-0.761052,-1.289005,0.565647,-0.140536,0.425111
Milwaukee Bucks,11.0,11.0,0.5,0.958336,-0.275895,-1.569814,-0.097279,-0.625008,-1.111614,0.575691,-0.285152,0.123753,0.130011,0.253764
Phoenix Suns,12.0,9.0,0.571429,0.678821,-0.202648,-1.052648,1.057904,-0.050488,-1.111614,0.78957,-0.241507,0.270346,-0.063568,0.206778
Atlanta Hawks,13.0,11.0,0.541667,-0.279515,0.529816,0.789755,0.449913,0.680719,0.625283,-0.172885,-0.023278,-0.018822,-0.147052,-0.165874
San Antonio Spurs,11.0,12.0,0.478261,-0.279515,0.163584,0.110975,0.753909,0.106199,-0.486331,-0.333295,-1.245359,-0.017421,-0.043918,-0.061339
Detroit Pistons,9.0,15.0,0.375,-0.159723,1.115787,0.563495,-0.766068,0.106199,-0.625283,0.468751,-0.634319,-0.345047,-0.009902,-0.354949
Chicago Bulls,10.0,14.0,0.416667,1.277781,0.23683,-1.4082,-1.374059,0.994094,-1.875849,1.270797,-0.547027,-0.035844,-0.530386,-0.56623
Brooklyn Nets,10.0,13.0,0.434783,0.399307,0.383323,-1.4082,0.693109,1.150781,0.486331,0.147933,1.809845,-0.113782,-0.58062,-0.694402
Indiana Pacers,10.0,14.0,0.416667,0.678821,0.23683,-1.181939,-0.097279,1.150781,-0.138952,-0.172885,0.675055,-0.038659,-0.630886,-0.669545
Los Angeles Lakers,12.0,11.0,0.521739,0.119792,-0.861866,-1.020325,1.361899,1.411927,-0.277904,-0.707583,-1.245359,0.263603,-0.58896,-0.325357
Toronto Raptors,7.0,16.0,0.304348,-0.59896,0.822801,1.791764,-0.462073,-0.259405,-0.903186,-0.440234,1.809845,-0.156242,-0.481558,-0.6378
Philadelphia 76ers,6.0,15.0,0.285714,-1.317712,0.017091,-0.276899,1.057904,0.62849,1.945325,-0.867992,1.504324,-0.428052,-0.164312,-0.592364
Charlotte Hornets,6.0,16.0,0.272727,-0.998267,0.676309,1.339244,-2.286045,0.524032,-0.138952,0.575691,0.805992,-0.643442,-0.250111,-0.893553
Utah Jazz,5.0,17.0,0.227273,-0.359376,2.141237,1.274598,1.422698,0.732949,-1.597945,-0.440234,-0.459736,-0.210735,-0.711752,-0.922487
Portland Trail Blazers,8.0,15.0,0.347826,-1.517365,1.042541,1.080661,-0.583671,0.680719,0.833711,-2.418614,0.849638,-0.739,-0.675028,-1.414028
New Orleans Pelicans,5.0,18.0,0.217391,-1.756949,0.23683,0.95137,-1.191662,1.359698,-0.138952,-1.509629,-1.55088,-0.750462,-0.647911,-1.398373
Washington Wizards,2.0,18.0,0.1,-1.597227,0.456569,-1.181939,-0.522872,1.25524,-1.042138,-0.921462,1.417033,-1.067852,-1.159478,-2.22733
