Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Orlando Magic,25,240.0,37.4,81.5,.458,11.7,32.4,.362,25.6,49.1,.522,16.6,22.0,.751,8.7,32.2,40.8,22.9,7.6,4.0,16.9,22.0,103.0
2,Oklahoma City Thunder,22,240.0,36.0,85.2,.423,12.6,37.8,.334,23.4,47.4,.494,18.8,25.4,.741,13.1,35.6,48.7,24.2,6.5,5.1,19.3,18.2,103.5
3,Minnesota Timberwolves,22,242.3,39.7,86.7,.458,11.5,34.3,.337,28.2,52.4,.538,15.6,19.6,.798,10.1,32.0,42.1,23.4,9.6,4.6,15.9,19.4,106.6
4,Houston Rockets,23,243.3,38.4,88.8,.433,11.8,34.4,.342,26.7,54.4,.490,18.0,23.9,.751,10.9,33.8,44.7,21.8,7.2,6.5,15.3,20.5,106.6
5,Los Angeles Clippers,24,241.0,39.1,84.8,.462,12.8,37.5,.343,26.3,47.3,.556,15.9,21.1,.753,9.3,32.0,41.3,24.9,9.7,5.3,15.3,18.3,107.0
6,Miami Heat,20,242.5,40.7,88.0,.462,13.6,38.1,.356,27.1,49.9,.543,14.2,17.8,.795,11.6,34.6,46.1,26.7,7.0,5.6,15.6,18.7,109.0
7,Golden State Warriors,22,241.1,39.1,89.5,.437,12.6,38.4,.328,26.5,51.0,.519,18.5,24.0,.774,11.3,34.8,46.1,26.1,7.6,6.1,15.2,18.3,109.3
8,Boston Celtics,23,243.3,41.6,89.8,.463,12.5,35.3,.354,29.1,54.5,.534,14.3,18.5,.772,10.0,33.7,43.7,24.3,6.6,3.8,13.7,19.2,110.0
9,Philadelphia 76ers,21,243.6,39.5,82.9,.477,12.5,35.5,.353,27.0,47.4,.570,19.0,23.0,.828,10.3,34.1,44.4,25.4,7.6,5.9,17.6,19.8,110.6
10,New York Knicks,22,240.0,40.5,87.1,.465,14.0,38.5,.362,26.5,48.6,.546,15.8,20.3,.776,9.8,30.0,39.8,25.6,6.9,4.6,12.7,18.8,110.7
